ticker,fiscal_year,section,chunk_id,prompt_tokens,completion_tokens,total_tokens,latency_sec,n_nodes,n_relationships,status
ACLS,2024,Item_1,ACLS_2024_Item_1_0006_31344207,2655,2467,5122,21.974,10,9,ok
ACLS,2024,Item_1,ACLS_2024_Item_1_0001_6a61057e,2604,1311,3915,34.027,2,0,ok
ACLS,2024,Item_1,ACLS_2024_Item_1_0004_a6b6507c,3202,1336,4538,37.044,0,0,ok
ACLS,2024,Item_1,ACLS_2024_Item_1_0008_b056e4f9,2741,1762,4503,15.508,5,4,ok
ACLS,2024,Item_1,ACLS_2024_Item_1_0011_86631768,1947,50,1997,1.727,0,0,ok
ACLS,2024,Item_1,ACLS_2024_Item_1_0000_0e289e84,2887,5655,8542,46.704,12,11,ok
ACLS,2024,Item_1,ACLS_2024_Item_1_0002_385e473f,2528,1279,3807,55.783,3,2,ok
ACLS,2024,Item_1,ACLS_2024_Item_1_0009_c40a6193,2835,2904,5739,26.129,6,5,ok
ACLS,2024,Item_1A,ACLS_2024_Item_1A_0000_44f5c09a,2797,3751,6548,31.848,12,10,ok
ACLS,2024,Item_1A,ACLS_2024_Item_1A_0003_4d5268d8,2886,6445,9331,53.169,20,15,ok
ACLS,2024,Item_1A,ACLS_2024_Item_1A_0004_e3e7ca09,2771,4697,7468,40.069,9,8,ok
ACLS,2024,Item_1,ACLS_2024_Item_1_0007_6ad60d43,2774,2687,5461,123.843,6,5,ok
ACLS,2024,Item_1A,ACLS_2024_Item_1A_0001_512ecf03,2838,9534,12372,77.872,25,10,ok
ACLS,2024,Item_1,ACLS_2024_Item_1_0010_adcb40ba,2922,3690,6612,91.756,22,0,ok
ACLS,2024,Item_1,ACLS_2024_Item_1_0003_72e2cf34,2790,3414,6204,135.936,14,7,ok
ACLS,2024,Item_1A,ACLS_2024_Item_1A_0008_3553891e,2871,2199,5070,18.989,5,4,ok
ACLS,2024,Item_1A,ACLS_2024_Item_1A_0006_9af41291,2827,3321,6148,28.559,13,10,ok
ACLS,2024,Item_1A,ACLS_2024_Item_1A_0005_6f87f748,2771,3735,6506,31.705,9,7,ok
ACLS,2024,Item_1A,ACLS_2024_Item_1A_0009_ea6e3abe,2442,907,3349,30.475,0,0,ok
ACLS,2024,Item_7,ACLS_2024_Item_7_0000_7c04b4ac,2729,2920,5649,25.894,6,5,ok
ACLS,2024,Item_7,ACLS_2024_Item_7_0003_b1f1888e,3385,2270,5655,19.943,7,1,ok
ACLS,2024,Item_7,ACLS_2024_Item_7_0002_6694ea5c,2846,3046,5892,26.699,12,0,ok
ACLS,2024,Item_7,ACLS_2024_Item_7_0004_c68837d5,3365,1202,4567,30.392,0,0,ok
ACLS,2024,Item_1,ACLS_2024_Item_1_0005_a0020d89,2770,5045,7815,197.58,18,8,ok
ACLS,2024,Item_7,ACLS_2024_Item_7_0005_a632d712,3560,3950,7510,34.359,11,0,ok
ACLS,2024,Item_1A,ACLS_2024_Item_1A_0007_863e3ae0,2842,2226,5068,75.011,5,4,ok
ACLS,2024,Item_7,ACLS_2024_Item_7_0001_b909ca84,2905,7800,10705,66.399,20,21,ok
ACLS,2024,Item_7,ACLS_2024_Item_7_0006_233e4ee3,3279,7068,10347,58.94,20,8,ok
ACLS,2024,Item_7,ACLS_2024_Item_7_0007_4499a2a6,3054,7604,10658,66.374,24,4,ok
ACLS,2024,Item_1A,ACLS_2024_Item_1A_0002_ed7c490e,2795,6332,9127,220.399,17,20,ok
ACLS,2024,Item_7,ACLS_2024_Item_7_0009_b2776bce,2583,3502,6085,111.484,6,0,ok
ACLS,2024,Item_7,ACLS_2024_Item_7_0008_5b002894,3106,5643,8749,173.242,12,0,ok
ACLS,2025,Item_1,ACLS_2025_Item_1_0001_bb3e1313,2701,1453,4154,14.567,1,0,ok
ACLS,2025,Item_1,ACLS_2025_Item_1_0002_75068084,2756,2163,4919,20.087,9,2,ok
ACLS,2025,Item_1,ACLS_2025_Item_1_0007_85769f3b,2796,2440,5236,22.153,6,5,ok
ACLS,2025,Item_1,ACLS_2025_Item_1_0000_fe84e8f4,2830,2773,5603,24.89,6,5,ok
ACLS,2025,Item_1,ACLS_2025_Item_1_0006_61e6830a,2767,3053,5820,26.186,14,10,ok
ACLS,2025,Item_1,ACLS_2025_Item_1_0004_1130c2f6,2716,3676,6392,31.841,14,13,ok
ACLS,2025,Item_1,ACLS_2025_Item_1_0003_89e7357f,3193,1336,4529,35.09,0,0,ok
ACLS,2025,Item_1,ACLS_2025_Item_1_0008_1620fa2b,2730,2794,5524,23.877,8,5,ok
ACLS,2025,Item_1,ACLS_2025_Item_1_0010_e8be0c09,2857,3230,6087,27.676,24,0,ok
ACLS,2025,Item_1,ACLS_2025_Item_1_0009_41aa3e1f,2619,4066,6685,34.382,7,6,ok
ACLS,2025,Item_1,ACLS_2025_Item_1_0005_4690a375,2687,6217,8904,55.024,10,0,ok
ACLS,2025,Item_1A,ACLS_2025_Item_1A_0000_50aa6dc8,2801,4846,7647,40.742,13,11,ok
ACLS,2025,Item_1A,ACLS_2025_Item_1A_0002_26564185,2815,5316,8131,43.744,12,17,ok
ACLS,2025,Item_1A,ACLS_2025_Item_1A_0004_bbab0b13,2669,4493,7162,38.571,11,6,ok
ACLS,2025,Item_1A,ACLS_2025_Item_1A_0005_cf9d472d,2824,3710,6534,31.131,11,12,ok
ACLS,2025,Item_1A,ACLS_2025_Item_1A_0001_75f71279,2795,7501,10296,61.453,26,14,ok
ACLS,2025,Item_1A,ACLS_2025_Item_1A_0006_909494d8,2852,4281,7133,35.087,8,7,ok
ACLS,2025,Item_1A,ACLS_2025_Item_1A_0007_8ac3a82b,2775,4278,7053,36.485,8,7,ok
ACLS,2025,Item_1A,ACLS_2025_Item_1A_0008_7ff303d9,2835,3350,6185,28.208,9,8,ok
ACLS,2025,Item_1A,ACLS_2025_Item_1A_0009_b49bfd34,2841,4550,7391,38.263,24,11,ok
ACLS,2025,Item_1A,ACLS_2025_Item_1A_0010_974d59b3,2341,4557,6898,37.661,15,14,ok
ACLS,2025,Item_7,ACLS_2025_Item_7_0000_205095a0,2884,5064,7948,42.987,17,16,ok
ACLS,2025,Item_7,ACLS_2025_Item_7_0001_51dc4dda,2851,4697,7548,40.528,9,7,ok
ACLS,2025,Item_7,ACLS_2025_Item_7_0002_d90c566a,2828,5116,7944,44.104,17,2,ok
ACLS,2025,Item_1A,ACLS_2025_Item_1A_0003_8f067dc7,2838,4957,7795,101.715,18,16,ok
ACLS,2025,Item_7,ACLS_2025_Item_7_0003_762d89c7,3462,6370,9832,53.559,10,3,ok
ACLS,2025,Item_7,ACLS_2025_Item_7_0004_32f74087,3388,6321,9709,52.646,14,1,ok
ACLS,2025,Item_7,ACLS_2025_Item_7_0005_74927aa7,3268,3793,7061,33.865,23,0,ok
ACLS,2025,Item_7,ACLS_2025_Item_7_0007_268e50cd,3249,4084,7333,35.469,29,0,ok
ACLS,2025,Item_7,ACLS_2025_Item_7_0008_28f23a47,2839,4372,7211,37.147,9,1,ok
ACLS,2025,Item_7,ACLS_2025_Item_7_0006_92f3742a,3145,7944,11089,65.525,21,5,ok
ACLS,2026,Item_1,ACLS_2026_Item_1_0001_f553d1cd,2700,1504,4204,14.283,1,0,ok
ACLS,2026,Item_1,ACLS_2026_Item_1_0000_0fecbc94,2837,2970,5807,26.674,9,7,ok
ACLS,2026,Item_1,ACLS_2026_Item_1_0002_5e3ddbbe,2756,3010,5766,27.075,6,3,ok
ACLS,2026,Item_1,ACLS_2026_Item_1_0007_f8a61064,3012,1236,4248,31.279,0,0,ok
ACLS,2026,Item_1,ACLS_2026_Item_1_0004_6069a655,2706,3860,6566,33.728,13,11,ok
ACLS,2026,Item_1,ACLS_2026_Item_1_0006_a2a655a6,2735,4012,6747,34.625,15,10,ok
ACLS,2026,Item_1,ACLS_2026_Item_1_0003_5ba6d929,2806,4392,7198,37.076,15,14,ok
ACLS,2026,Item_1,ACLS_2026_Item_1_0008_df16060f,2686,2637,5323,23.881,8,4,ok
ACLS,2026,Item_1,ACLS_2026_Item_1_0005_8d2e5966,2789,4571,7360,39.718,14,12,ok
ACLS,2026,Item_1,ACLS_2026_Item_1_0009_b368364c,2833,3164,5997,26.922,7,6,ok
ACLS,2026,Item_1,ACLS_2026_Item_1_0010_30cf5c7d,2778,3341,6119,28.267,19,0,ok
ACLS,2026,Item_1A,ACLS_2026_Item_1A_0002_05c0a515,2896,3179,6075,26.432,11,7,ok
ACLS,2026,Item_1A,ACLS_2026_Item_1A_0005_b85c8c28,2736,4472,7208,38.458,11,8,ok
ACLS,2026,Item_1A,ACLS_2026_Item_1A_0000_a5283b99,2803,5701,8504,49.47,13,11,ok
ACLS,2026,Item_1A,ACLS_2026_Item_1A_0004_8d034e15,2809,4806,7615,42.413,16,3,ok
ACLS,2026,Item_1A,ACLS_2026_Item_1A_0006_4d03ecde,2606,3750,6356,32.447,13,12,ok
ACLS,2026,Item_1A,ACLS_2026_Item_1A_0003_00f74ca9,2839,5759,8598,50.062,16,12,ok
ACLS,2026,Item_1A,ACLS_2026_Item_1A_0007_a6fc54c9,2831,4489,7320,37.985,11,17,ok
ACLS,2026,Item_1A,ACLS_2026_Item_1A_0008_5e884109,2865,6779,9644,58.055,20,12,ok
ACLS,2026,Item_1A,ACLS_2026_Item_1A_0011_759bd244,2738,4775,7513,40.8,9,7,ok
ACLS,2026,Item_1A,ACLS_2026_Item_1A_0012_12ae3e4b,2905,4343,7248,36.748,6,9,ok
ACLS,2026,Item_1A,ACLS_2026_Item_1A_0001_660b6631,2681,11468,14149,98.291,28,14,ok
ACLS,2026,Item_1A,ACLS_2026_Item_1A_0009_5a3c8e05,2692,7196,9888,59.875,13,9,ok
ACLS,2026,Item_1A,ACLS_2026_Item_1A_0014_3ac67bfd,2857,5376,8233,45.689,10,7,ok
ACLS,2026,Item_1A,ACLS_2026_Item_1A_0013_7f91736e,2803,6818,9621,56.653,14,17,ok
ACLS,2026,Item_7,ACLS_2026_Item_7_0000_ff6f8654,2869,2904,5773,24.92,10,10,ok
ACLS,2026,Item_1A,ACLS_2026_Item_1A_0010_29a61d5e,2899,8149,11048,68.115,13,20,ok
ACLS,2026,Item_1A,ACLS_2026_Item_1A_0016_2c37b9b6,2350,3538,5888,30.381,15,0,ok
ACLS,2026,Item_7,ACLS_2026_Item_7_0001_7c2ddc09,2853,3230,6083,29.134,7,3,ok
ACLS,2026,Item_1A,ACLS_2026_Item_1A_0015_f0b6078a,2843,5154,7997,42.634,24,23,ok
ACLS,2026,Item_7,ACLS_2026_Item_7_0002_3a7765af,2798,3969,6767,34.97,16,0,ok
ACLS,2026,Item_7,ACLS_2026_Item_7_0006_dbbc6b7a,3180,5515,8695,46.84,21,0,ok
ACLS,2026,Item_7,ACLS_2026_Item_7_0003_2543baa4,3452,6894,10346,57.951,10,4,ok
ACLS,2026,Item_7,ACLS_2026_Item_7_0007_b3219d3c,3280,5868,9148,49.596,10,0,ok
ACLS,2026,Item_7,ACLS_2026_Item_7_0005_37fe4bf2,3251,6657,9908,55.133,20,0,ok
ACLS,2026,Item_7,ACLS_2026_Item_7_0008_899b2daf,2836,5524,8360,47.303,13,3,ok
ACLS,2026,Item_7,ACLS_2026_Item_7_0004_2ae66c0d,3398,8018,11416,67.855,25,5,ok
