ticker,fiscal_year,section,chunk_id,prompt_tokens,completion_tokens,total_tokens,latency_sec,n_nodes,n_relationships,status
ALAB,2025,Item_1,ALAB_2025_Item_1_0002_1feaf26b,2686,1451,4137,13.157,3,0,ok
ALAB,2025,Item_1,ALAB_2025_Item_1_0003_c3d98992,2724,2375,5099,21.562,9,0,ok
ALAB,2025,Item_1A,ALAB_2025_Item_1A_0000_80a54885,2849,3122,5971,26.924,13,0,ok
ALAB,2025,Item_1,ALAB_2025_Item_1_0004_438bdb98,2623,2701,5324,25.012,15,14,ok
ALAB,2025,Item_1,ALAB_2025_Item_1_0001_c1054929,2668,2826,5494,27.004,5,0,ok
ALAB,2025,Item_1,ALAB_2025_Item_1_0005_a7bfd3ae,2671,3564,6235,32.275,6,3,ok
ALAB,2025,Item_1,ALAB_2025_Item_1_0000_30c5ac32,2672,3948,6620,33.155,8,13,ok
ALAB,2025,Item_1A,ALAB_2025_Item_1A_0002_566b5987,2870,3632,6502,31.525,5,0,ok
ALAB,2025,Item_1A,ALAB_2025_Item_1A_0003_f2b506f4,2748,3638,6386,31.18,10,7,ok
ALAB,2025,Item_1A,ALAB_2025_Item_1A_0005_e5edd37e,2891,3034,5925,26.841,6,4,ok
ALAB,2025,Item_1A,ALAB_2025_Item_1A_0001_c79b0503,2886,7792,10678,64.955,25,5,ok
ALAB,2025,Item_1A,ALAB_2025_Item_1A_0009_3a45d748,2815,2748,5563,24.952,8,0,ok
ALAB,2025,Item_1A,ALAB_2025_Item_1A_0006_19c2c6cd,2854,5381,8235,48.886,13,15,ok
ALAB,2025,Item_1A,ALAB_2025_Item_1A_0010_1c87a774,2722,3031,5753,26.315,8,7,ok
ALAB,2025,Item_1A,ALAB_2025_Item_1A_0004_9ada9276,2865,6779,9644,59.189,12,13,ok
ALAB,2025,Item_1A,ALAB_2025_Item_1A_0012_14398e20,2680,2479,5159,22.501,6,0,ok
ALAB,2025,Item_1A,ALAB_2025_Item_1A_0008_9ad8efb8,2675,7027,9702,56.455,20,17,ok
ALAB,2025,Item_1A,ALAB_2025_Item_1A_0007_2bc1e199,2783,7611,10394,63.346,21,7,ok
ALAB,2025,Item_1A,ALAB_2025_Item_1A_0015_c19be5b3,2511,3282,5793,31.944,3,0,ok
ALAB,2025,Item_1A,ALAB_2025_Item_1A_0017_3c50733c,2764,3364,6128,29.823,6,2,ok
ALAB,2025,Item_1A,ALAB_2025_Item_1A_0011_16f20fa4,2843,7356,10199,64.765,12,8,ok
ALAB,2025,Item_1A,ALAB_2025_Item_1A_0018_c7d6d525,2660,3602,6262,31.394,3,0,ok
ALAB,2025,Item_1A,ALAB_2025_Item_1A_0019_a4567f6a,2769,3044,5813,26.52,5,1,ok
ALAB,2025,Item_1A,ALAB_2025_Item_1A_0014_4cf6c73b,2733,6073,8806,51.966,10,4,ok
ALAB,2025,Item_1A,ALAB_2025_Item_1A_0020_79f5bd96,2715,2560,5275,21.493,6,0,ok
ALAB,2025,Item_1A,ALAB_2025_Item_1A_0016_e5181b96,2714,7194,9908,61.799,13,6,ok
ALAB,2025,Item_1A,ALAB_2025_Item_1A_0021_459c4671,2674,3359,6033,32.081,7,3,ok
ALAB,2025,Item_1A,ALAB_2025_Item_1A_0022_392daebc,2855,3741,6596,33.306,5,0,ok
ALAB,2025,Item_1A,ALAB_2025_Item_1A_0024_da388578,2837,3752,6589,33.597,5,1,ok
ALAB,2025,Item_1A,ALAB_2025_Item_1A_0013_6bcbda6b,2829,10320,13149,85.695,22,18,ok
ALAB,2025,Item_1A,ALAB_2025_Item_1A_0027_dbc9da72,2824,3436,6260,29.705,6,4,ok
ALAB,2025,Item_1A,ALAB_2025_Item_1A_0028_56fd867c,2744,3779,6523,31.559,20,6,ok
ALAB,2025,Item_1A,ALAB_2025_Item_1A_0025_5b82aa80,2628,6510,9138,53.937,12,12,ok
ALAB,2025,Item_1A,ALAB_2025_Item_1A_0023_b4c984a0,2868,7687,10555,66.037,21,17,ok
ALAB,2025,Item_1A,ALAB_2025_Item_1A_0026_ac7b26a1,2847,7284,10131,59.686,18,14,ok
ALAB,2025,Item_1A,ALAB_2025_Item_1A_0033_f51d6fa3,2840,2203,5043,20.16,5,0,ok
ALAB,2025,Item_1A,ALAB_2025_Item_1A_0035_839505bf,2719,1414,4133,12.66,1,0,ok
ALAB,2025,Item_1A,ALAB_2025_Item_1A_0032_a9aff4db,2847,3230,6077,28.926,4,0,ok
ALAB,2025,Item_1A,ALAB_2025_Item_1A_0030_06b4b814,2668,6003,8671,50.387,15,7,ok
ALAB,2025,Item_1A,ALAB_2025_Item_1A_0029_83802a9f,2715,6866,9581,59.145,11,9,ok
ALAB,2025,Item_1A,ALAB_2025_Item_1A_0034_c77bb505,2748,3402,6150,29.149,8,6,ok
ALAB,2025,Item_1A,ALAB_2025_Item_1A_0040_2a3bb0f4,2857,2741,5598,23.851,8,2,ok
ALAB,2025,Item_1A,ALAB_2025_Item_1A_0031_1d016b5d,2790,8549,11339,71.649,20,22,ok
ALAB,2025,Item_1A,ALAB_2025_Item_1A_0036_1007f5f5,2746,6221,8967,50.199,17,15,ok
ALAB,2025,Item_1A,ALAB_2025_Item_1A_0043_59bb2d3b,2688,2565,5253,21.668,11,0,ok
ALAB,2025,Item_1A,ALAB_2025_Item_1A_0042_3c68c688,2808,4565,7373,38.616,7,4,ok
ALAB,2025,Item_1A,ALAB_2025_Item_1A_0041_a167ea43,2878,5606,8484,45.173,10,11,ok
ALAB,2025,Item_1A,ALAB_2025_Item_1A_0038_437f9044,2862,6846,9708,58.457,7,5,ok
ALAB,2025,Item_1A,ALAB_2025_Item_1A_0039_a535c49d,2901,6616,9517,56.24,9,3,ok
ALAB,2025,Item_7,ALAB_2025_Item_7_0000_4362bba9,2897,4636,7533,41.063,10,0,ok
ALAB,2025,Item_7,ALAB_2025_Item_7_0002_f3e83a6c,2843,2918,5761,25.151,12,0,ok
ALAB,2025,Item_7,ALAB_2025_Item_7_0001_412a4138,3070,4238,7308,36.654,18,3,ok
ALAB,2025,Item_7,ALAB_2025_Item_7_0009_4964f7ba,2907,3448,6355,29.848,16,0,ok
ALAB,2025,Item_7,ALAB_2025_Item_7_0005_9b0a0973,3075,6345,9420,55.014,19,8,ok
ALAB,2025,Item_1A,ALAB_2025_Item_1A_0037_5818304f,2853,14545,17398,120.329,38,37,ok
ALAB,2025,Item_7,ALAB_2025_Item_7_0004_383177a5,3080,7993,11073,66.293,14,15,ok
ALAB,2025,Item_7,ALAB_2025_Item_7_0003_86dab44c,3231,8518,11749,70.62,23,13,ok
ALAB,2025,Item_7,ALAB_2025_Item_7_0006_1f7f0732,3017,7408,10425,64.424,11,14,ok
ALAB,2025,Item_7,ALAB_2025_Item_7_0007_39b6de78,3040,7477,10517,63.134,5,3,ok
ALAB,2025,Item_7,ALAB_2025_Item_7_0008_1b60314a,3064,7281,10345,59.247,23,20,ok
ALAB,2025,Item_7,ALAB_2025_Item_7_0011_7e72ebe9,2866,3501,6367,30.009,15,0,ok
ALAB,2025,Item_7,ALAB_2025_Item_7_0010_81818bdd,2867,4159,7026,35.255,12,7,ok
ALAB,2025,Item_7,ALAB_2025_Item_7_0012_5fbe5ebc,2889,7392,10281,63.372,15,3,ok
ALAB,2025,Item_7,ALAB_2025_Item_7_0013_3f8124d2,2917,8646,11563,74.714,24,3,ok
ALAB,2026,Item_1,ALAB_2026_Item_1_0001_8f1072c8,2664,1495,4159,13.282,5,0,ok
ALAB,2026,Item_1,ALAB_2026_Item_1_0002_4066a26e,2686,2000,4686,20.055,6,0,ok
ALAB,2026,Item_1A,ALAB_2026_Item_1A_0000_51b3916d,2843,2618,5461,23.015,13,0,ok
ALAB,2026,Item_1,ALAB_2026_Item_1_0005_dfbb10d8,2575,2946,5521,25.32,10,9,ok
ALAB,2026,Item_1,ALAB_2026_Item_1_0000_80909999,2667,3128,5795,28.097,8,7,ok
ALAB,2026,Item_1,ALAB_2026_Item_1_0003_5e03c317,2689,3676,6365,33.05,13,0,ok
ALAB,2026,Item_1,ALAB_2026_Item_1_0004_40569220,2750,4476,7226,38.182,22,21,ok
ALAB,2026,Item_1A,ALAB_2026_Item_1A_0005_fa4990a4,2840,1601,4441,14.892,2,0,ok
