ticker,fiscal_year,section,chunk_id,prompt_tokens,completion_tokens,total_tokens,latency_sec,n_nodes,n_relationships,status
AMD,2024,Item_1,AMD_2024_Item_1_0000_e7df7264,2736,1222,3958,10.969,2,1,ok
AMD,2024,Item_1,AMD_2024_Item_1_0007_0a7c98ad,2721,3367,6088,147.085,16,15,ok
AMD,2024,Item_1,AMD_2024_Item_1_0003_ee436d61,2830,4116,6946,151.886,17,16,ok
AMD,2024,Item_1,AMD_2024_Item_1_0001_84491be9,2893,5453,8346,160.612,37,36,ok
AMD,2024,Item_1,AMD_2024_Item_1_0010_842113d9,2688,1011,3699,9.834,2,1,ok
AMD,2024,Item_1,AMD_2024_Item_1_0002_7d037184,2772,6249,9021,168.409,17,16,ok
AMD,2024,Item_1,AMD_2024_Item_1_0008_64d2546e,2752,3902,6654,155.454,9,0,ok
AMD,2024,Item_1,AMD_2024_Item_1_0004_281905c9,2747,7810,10557,177.096,22,21,ok
AMD,2024,Item_1,AMD_2024_Item_1_0005_7be264c6,2817,7524,10341,179.354,28,27,ok
AMD,2024,Item_1,AMD_2024_Item_1_0014_2466e860,2703,957,3660,9.516,1,0,ok
AMD,2024,Item_1,AMD_2024_Item_1_0011_49024c2d,2676,3313,5989,24.039,14,4,ok
AMD,2024,Item_1,AMD_2024_Item_1_0013_596acde4,2722,2710,5432,24.68,5,5,ok
AMD,2024,Item_1,AMD_2024_Item_1_0006_e41aed21,2771,10021,12792,202.118,28,24,ok
AMD,2024,Item_1,AMD_2024_Item_1_0015_20b01b6a,2583,3008,5591,25.066,8,7,ok
AMD,2024,Item_1,AMD_2024_Item_1_0012_9561038a,2517,4667,7184,39.314,9,8,ok
AMD,2024,Item_1,AMD_2024_Item_1_0016_7bf94bdf,2385,3198,5583,28.884,5,0,ok
AMD,2024,Item_1,AMD_2024_Item_1_0009_01379c5a,2785,8689,11474,62.126,40,39,ok
AMD,2024,Item_1A,AMD_2024_Item_1A_0000_2d7713d3,2883,6926,9809,43.89,33,31,ok
AMD,2024,Item_1A,AMD_2024_Item_1A_0002_0a71f57a,2563,3693,6256,29.811,7,6,ok
AMD,2024,Item_1A,AMD_2024_Item_1A_0005_a057bdb2,2762,4824,7586,44.386,9,7,ok
AMD,2024,Item_1A,AMD_2024_Item_1A_0004_eabb01e8,2880,7720,10600,54.398,28,27,ok
AMD,2024,Item_1A,AMD_2024_Item_1A_0006_16ed3c8d,2811,5576,8387,51.061,9,7,ok
AMD,2024,Item_1A,AMD_2024_Item_1A_0009_809382a1,2640,4466,7106,40.107,13,12,ok
AMD,2024,Item_1A,AMD_2024_Item_1A_0003_cd973f49,2801,8317,11118,63.441,22,12,ok
AMD,2024,Item_1A,AMD_2024_Item_1A_0001_af76ed64,2662,11728,14390,82.194,34,34,ok
AMD,2024,Item_1A,AMD_2024_Item_1A_0007_2f2587e1,2880,6423,9303,57.332,17,6,ok
AMD,2024,Item_1A,AMD_2024_Item_1A_0013_7647ebb9,2683,1610,4293,15.797,2,2,ok
AMD,2024,Item_1A,AMD_2024_Item_1A_0008_027b0f68,2751,7685,10436,64.181,19,17,ok
AMD,2024,Item_1A,AMD_2024_Item_1A_0012_6e45c6a7,2879,4238,7117,37.94,10,7,ok
AMD,2024,Item_1A,AMD_2024_Item_1A_0011_fbb67bc3,2641,4558,7199,40.564,8,2,ok
AMD,2024,Item_1A,AMD_2024_Item_1A_0010_a0734f02,2558,5815,8373,52.773,9,2,ok
AMD,2024,Item_1A,AMD_2024_Item_1A_0014_0bf1f397,2532,3951,6483,36.602,9,4,ok
AMD,2024,Item_1A,AMD_2024_Item_1A_0017_dbe9d1f9,2740,3089,5829,25.587,7,6,ok
AMD,2024,Item_1A,AMD_2024_Item_1A_0018_b83374ec,2690,1967,4657,18.998,5,0,ok
AMD,2024,Item_1A,AMD_2024_Item_1A_0015_22ab1f05,2856,4716,7572,39.021,15,14,ok
AMD,2024,Item_1A,AMD_2024_Item_1A_0016_1f10868e,2789,4491,7280,42.325,6,0,ok
AMD,2024,Item_1A,AMD_2024_Item_1A_0020_eca2a895,2601,5199,7800,168.573,17,9,ok
AMD,2024,Item_1A,AMD_2024_Item_1A_0019_215c9994,2822,6169,8991,178.79,9,6,ok
AMD,2024,Item_1A,AMD_2024_Item_1A_0023_2e41e50e,2860,5190,8050,171.217,11,4,ok
AMD,2024,Item_1A,AMD_2024_Item_1A_0021_614fbf7c,2850,6461,9311,178.865,21,18,ok
AMD,2024,Item_1A,AMD_2024_Item_1A_0022_3fdd3fbf,2818,6708,9526,178.274,22,11,ok
AMD,2024,Item_1A,AMD_2024_Item_1A_0024_252c18a6,2719,5936,8655,176.058,11,0,ok
AMD,2024,Item_1A,AMD_2024_Item_1A_0027_68d7e250,2877,3017,5894,24.743,7,5,ok
AMD,2024,Item_1A,AMD_2024_Item_1A_0026_85833235,2735,6708,9443,181.26,11,6,ok
AMD,2024,Item_1A,AMD_2024_Item_1A_0025_435ceb82,2782,7296,10078,186.802,18,7,ok
AMD,2024,Item_1A,AMD_2024_Item_1A_0029_128dcf09,2851,3762,6613,32.19,7,8,ok
AMD,2024,Item_1A,AMD_2024_Item_1A_0035_4c7b6fd2,2758,2092,4850,17.078,22,0,ok
AMD,2024,Item_1A,AMD_2024_Item_1A_0034_26f67ee3,2870,3116,5986,25.936,6,2,ok
AMD,2024,Item_1A,AMD_2024_Item_1A_0028_b67d11a5,2837,5635,8472,45.406,14,8,ok
AMD,2024,Item_1A,AMD_2024_Item_1A_0030_f78d782a,2759,6067,8826,47.932,10,9,ok
AMD,2024,Item_1A,AMD_2024_Item_1A_0033_b34911db,2747,4050,6797,37.242,5,0,ok
AMD,2024,Item_1A,AMD_2024_Item_1A_0031_6e83b3ae,2445,6907,9352,50.662,14,11,ok
AMD,2024,Item_7,AMD_2024_Item_7_0003_1616f0f2,2719,1532,4251,13.979,3,0,ok
AMD,2024,Item_7,AMD_2024_Item_7_0000_502ca266,2908,5762,8670,41.503,17,16,ok
AMD,2024,Item_1A,AMD_2024_Item_1A_0032_979d78aa,2856,8851,11707,70.668,33,12,ok
AMD,2024,Item_7,AMD_2024_Item_7_0002_d4114c99,2911,4481,7392,34.063,17,16,ok
AMD,2024,Item_7,AMD_2024_Item_7_0004_67034475,2893,3442,6335,26.386,13,10,ok
AMD,2024,Item_7,AMD_2024_Item_7_0010_577d7644,2998,2157,5155,19.861,0,0,ok
AMD,2024,Item_7,AMD_2024_Item_7_0005_86aec648,3092,6452,9544,48.117,21,22,ok
AMD,2024,Item_7,AMD_2024_Item_7_0008_124e9efb,3032,3587,6619,28.43,15,1,ok
AMD,2024,Item_7,AMD_2024_Item_7_0001_2f628a3f,2789,9590,12379,69.508,23,20,ok
