ticker,fiscal_year,section,chunk_id,prompt_tokens,completion_tokens,total_tokens,latency_sec,n_nodes,n_relationships,status
AMKR,2024,Item_1,AMKR_2024_Item_1_0001_011d060d,2250,1184,3434,13.428,1,0,ok
AMKR,2024,Item_1,AMKR_2024_Item_1_0002_77b8f310,2340,1201,3541,13.72,1,0,ok
AMKR,2024,Item_1,AMKR_2024_Item_1_0000_42bdb13a,2344,2537,4881,21.999,11,10,ok
AMKR,2024,Item_1,AMKR_2024_Item_1_0005_abf64cda,2531,2408,4939,23.281,7,0,ok
AMKR,2024,Item_1,AMKR_2024_Item_1_0003_a4ea9856,2334,2494,4828,24.563,18,0,ok
AMKR,2024,Item_1,AMKR_2024_Item_1_0007_3643cd90,2301,2819,5120,28.127,11,0,ok
AMKR,2024,Item_1,AMKR_2024_Item_1_0004_6a3a7b86,2326,3639,5965,31.885,9,8,ok
AMKR,2024,Item_1,AMKR_2024_Item_1_0006_676ea03b,2461,3648,6109,36.427,9,0,ok
AMKR,2024,Item_1,AMKR_2024_Item_1_0008_d27ce16b,2406,2434,4840,22.587,8,7,ok
AMKR,2024,Item_1,AMKR_2024_Item_1_0014_32bea1b0,1869,531,2400,6.746,1,0,ok
AMKR,2024,Item_1,AMKR_2024_Item_1_0009_58e665a1,2441,2566,5007,25.812,13,0,ok
AMKR,2024,Item_1,AMKR_2024_Item_1_0013_85e136f5,2355,2132,4487,16.716,15,14,ok
AMKR,2024,Item_1,AMKR_2024_Item_1_0012_5ccaf2ef,2306,2154,4460,21.267,5,0,ok
AMKR,2024,Item_1,AMKR_2024_Item_1_0011_6986f999,2283,1907,4190,22.673,0,0,ok
AMKR,2024,Item_1,AMKR_2024_Item_1_0010_8bd45892,2413,2750,5163,24.521,11,9,ok
AMKR,2024,Item_1A,AMKR_2024_Item_1A_0007_542bd463,2447,2335,4782,23.313,8,3,ok
AMKR,2024,Item_1A,AMKR_2024_Item_1A_0006_9d487d5d,2477,4288,6765,40.245,10,9,ok
AMKR,2024,Item_1A,AMKR_2024_Item_1A_0002_414520fb,2377,5746,8123,52.456,16,6,ok
AMKR,2024,Item_1A,AMKR_2024_Item_1A_0001_127d9220,2471,6298,8769,57.193,18,4,ok
AMKR,2024,Item_1A,AMKR_2024_Item_1A_0000_0b90aba1,2485,8339,10824,66.32,32,31,ok
AMKR,2024,Item_1A,AMKR_2024_Item_1A_0008_e32c6d99,2445,3456,5901,31.594,8,4,ok
AMKR,2024,Item_1A,AMKR_2024_Item_1A_0004_5102a4cf,2460,7577,10037,64.325,29,9,ok
AMKR,2024,Item_1A,AMKR_2024_Item_1A_0005_bab8d680,2468,6171,8639,65.169,8,3,ok
AMKR,2024,Item_1A,AMKR_2024_Item_1A_0003_795c25c0,2487,7629,10116,71.752,25,4,ok
AMKR,2024,Item_1A,AMKR_2024_Item_1A_0011_d373bfac,2371,5198,7569,41.479,14,20,ok
AMKR,2024,Item_1A,AMKR_2024_Item_1A_0012_3a06b62d,2452,3530,5982,34.092,8,0,ok
AMKR,2024,Item_1A,AMKR_2024_Item_1A_0010_a9a5f9b4,2291,5736,8027,48.447,26,7,ok
AMKR,2024,Item_1A,AMKR_2024_Item_1A_0016_c9aea4fb,2488,2972,5460,28.06,6,1,ok
AMKR,2024,Item_1A,AMKR_2024_Item_1A_0013_0babc679,2464,3742,6206,37.112,5,1,ok
AMKR,2024,Item_1A,AMKR_2024_Item_1A_0009_d14b856d,2492,6056,8548,52.75,18,14,ok
AMKR,2024,Item_1A,AMKR_2024_Item_1A_0021_1d45a174,2408,765,3173,7.995,0,0,ok
AMKR,2024,Item_1A,AMKR_2024_Item_1A_0014_61e42494,2464,4481,6945,39.944,5,7,ok
AMKR,2024,Item_1A,AMKR_2024_Item_1A_0015_a7418df6,2554,4966,7520,41.723,11,16,ok
AMKR,2024,Item_1A,AMKR_2024_Item_1A_0022_18b27b1e,2440,3290,5730,28.589,12,0,ok
AMKR,2024,Item_1A,AMKR_2024_Item_1A_0018_fb318bcb,2444,4542,6986,32.307,13,15,ok
AMKR,2024,Item_1A,AMKR_2024_Item_1A_0017_3d9ea196,2279,3869,6148,34.155,5,3,ok
AMKR,2024,Item_1A,AMKR_2024_Item_1A_0019_c3a1b3b6,2317,5043,7360,40.772,9,5,ok
AMKR,2024,Item_7,AMKR_2024_Item_7_0000_ecae5024,2383,5671,8054,44.204,17,16,ok
AMKR,2024,Item_7,AMKR_2024_Item_7_0002_50839c09,2894,6318,9212,49.225,15,11,ok
AMKR,2024,Item_7,AMKR_2024_Item_7_0001_d3c35fd9,2774,7559,10333,54.128,21,19,ok
AMKR,2024,Item_1A,AMKR_2024_Item_1A_0020_8babd631,2521,8716,11237,67.644,18,12,ok
AMKR,2024,Item_7,AMKR_2024_Item_7_0003_3be056ed,2846,5318,8164,41.409,16,4,ok
AMKR,2024,Item_7,AMKR_2024_Item_7_0008_019ebf32,2487,1206,3693,11.316,2,0,ok
AMKR,2024,Item_7,AMKR_2024_Item_7_0004_37e28bde,2512,6489,9001,46.458,17,19,ok
AMKR,2024,Item_7,AMKR_2024_Item_7_0006_8eb1e27e,2543,5252,7795,40.079,9,3,ok
AMKR,2024,Item_7,AMKR_2024_Item_7_0005_4956ade5,2585,7286,9871,50.933,20,22,ok
AMKR,2024,Item_7,AMKR_2024_Item_7_0007_cfa9eb44,2613,3694,6307,27.874,8,1,ok
AMKR,2024,Item_7,AMKR_2024_Item_7_0009_406c9d4b,2514,3650,6164,28.056,10,0,ok
AMKR,2024,Item_7,AMKR_2024_Item_7_0010_12e2a349,2513,4528,7041,35.011,18,3,ok
AMKR,2024,Item_7,AMKR_2024_Item_7_0011_ac7abf87,2576,5240,7816,42.818,5,2,ok
AMKR,2025,Item_1,AMKR_2025_Item_1_0001_4c13a1d5,2307,1144,3451,10.348,1,0,ok
AMKR,2025,Item_1,AMKR_2025_Item_1_0000_0ac4eac4,2379,1431,3810,11.621,4,3,ok
AMKR,2025,Item_1,AMKR_2025_Item_1_0002_8ce2a17d,2324,1337,3661,12.207,1,0,ok
AMKR,2025,Item_1,AMKR_2025_Item_1_0004_ac2a9d2f,2330,2335,4665,18.548,5,4,ok
AMKR,2025,Item_1,AMKR_2025_Item_1_0005_6f241db0,2527,3175,5702,25.609,9,0,ok
AMKR,2025,Item_1,AMKR_2025_Item_1_0007_5aa4c78a,2406,3828,6234,27.302,11,10,ok
AMKR,2025,Item_1,AMKR_2025_Item_1_0008_dc180965,2370,3151,5521,26.432,11,0,ok
AMKR,2025,Item_1,AMKR_2025_Item_1_0011_3e8905c7,2385,2489,4874,20.622,7,0,ok
AMKR,2025,Item_1,AMKR_2025_Item_1_0012_e7a5e4c5,2356,2018,4374,16.132,7,1,ok
AMKR,2025,Item_1,AMKR_2025_Item_1_0013_def6c48f,2136,2157,4293,14.185,15,14,ok
AMKR,2025,Item_1,AMKR_2025_Item_1_0010_bec06794,2408,4509,6917,32.627,16,15,ok
AMKR,2025,Item_1,AMKR_2025_Item_1_0009_6c529072,2481,4635,7116,34.143,15,13,ok
AMKR,2025,Item_1,AMKR_2025_Item_1_0006_c4d40d08,2385,6441,8826,46.389,21,20,ok
AMKR,2025,Item_1,AMKR_2025_Item_1_0003_e6535bf0,2330,7845,10175,56.339,19,16,ok
AMKR,2025,Item_1A,AMKR_2025_Item_1A_0006_cf472e2a,2447,2413,4860,19.501,5,4,ok
