ticker,fiscal_year,section,chunk_id,prompt_tokens,completion_tokens,total_tokens,latency_sec,n_nodes,n_relationships,status
INTC,2024,Item_1,INTC_2024_Item_1_0007_bfb6b7ec,2703,2057,4760,16.852,6,5,ok
INTC,2024,Item_1,INTC_2024_Item_1_0000_0f03d923,2782,1655,4437,20.248,4,2,ok
INTC,2024,Item_1,INTC_2024_Item_1_0006_05036df5,2733,2276,5009,28.204,6,5,ok
INTC,2024,Item_1,INTC_2024_Item_1_0005_bcb431a8,2719,3393,6112,30.574,9,8,ok
INTC,2024,Item_1,INTC_2024_Item_1_0003_02f7f00d,2996,4417,7413,35.908,12,11,ok
INTC,2024,Item_1,INTC_2024_Item_1_0002_9b4c4826,2683,4210,6893,36.523,15,14,ok
INTC,2024,Item_1,INTC_2024_Item_1_0009_be29e501,2742,825,3567,18.595,1,0,ok
INTC,2024,Item_1,INTC_2024_Item_1_0001_c6df83d9,2677,2642,5319,43.594,7,0,ok
INTC,2024,Item_1,INTC_2024_Item_1_0015_2857be20,2589,682,3271,7.901,1,0,ok
INTC,2024,Item_1,INTC_2024_Item_1_0008_cca3187e,2729,1599,4328,37.598,4,3,ok
INTC,2024,Item_1,INTC_2024_Item_1_0010_4835f632,2449,3502,5951,30.947,11,10,ok
INTC,2024,Item_1,INTC_2024_Item_1_0016_5cb66ef2,2680,1028,3708,10.069,3,2,ok
INTC,2024,Item_1,INTC_2024_Item_1_0014_32e0816b,2778,3103,5881,25.511,14,13,ok
INTC,2024,Item_1,INTC_2024_Item_1_0013_4816753e,2748,3530,6278,31.194,8,7,ok
INTC,2024,Item_1,INTC_2024_Item_1_0004_692d8999,2810,9007,11817,71.438,34,36,ok
INTC,2024,Item_1,INTC_2024_Item_1_0017_64390167,2663,1705,4368,16.765,3,2,ok
INTC,2024,Item_1,INTC_2024_Item_1_0011_73ce8585,2771,6338,9109,48.288,16,15,ok
INTC,2024,Item_1,INTC_2024_Item_1_0019_7c77afc5,2704,2605,5309,25.268,4,3,ok
INTC,2024,Item_1,INTC_2024_Item_1_0018_4e1ad0c5,2611,2106,4717,30.477,3,2,ok
INTC,2024,Item_1,INTC_2024_Item_1_0012_d9112a33,2731,7068,9799,55.386,24,25,ok
INTC,2024,Item_1,INTC_2024_Item_1_0020_10501668,2818,3136,5954,27.694,5,4,ok
INTC,2024,Item_1A,INTC_2024_Item_1A_0000_1a5c79ae,2672,2487,5159,23.409,6,1,ok
INTC,2024,Item_1,INTC_2024_Item_1_0021_7f8f7017,2086,1188,3274,26.011,1,0,ok
INTC,2024,Item_1A,INTC_2024_Item_1A_0002_04a15cb0,2582,3544,6126,27.76,13,8,ok
INTC,2024,Item_1A,INTC_2024_Item_1A_0001_f0f6c35c,2629,4986,7615,39.916,13,14,ok
INTC,2024,Item_1A,INTC_2024_Item_1A_0003_f5e856d2,2810,4716,7526,37.804,15,14,ok
INTC,2024,Item_1A,INTC_2024_Item_1A_0006_f838a2b7,2713,4835,7548,38.838,20,18,ok
INTC,2024,Item_1A,INTC_2024_Item_1A_0009_dd11a01d,2848,4489,7337,32.655,24,15,ok
INTC,2024,Item_1A,INTC_2024_Item_1A_0004_64e4feb4,2849,5964,8813,48.373,13,10,ok
INTC,2024,Item_1A,INTC_2024_Item_1A_0005_ef2ea8b1,2805,6652,9457,51.426,13,18,ok
INTC,2024,Item_1A,INTC_2024_Item_1A_0011_d1ccc8ba,2819,4919,7738,36.676,11,9,ok
INTC,2024,Item_1A,INTC_2024_Item_1A_0014_c7780a56,2653,2819,5472,25.267,4,2,ok
INTC,2024,Item_1A,INTC_2024_Item_1A_0008_e11f22fe,2719,10282,13001,78.754,25,24,ok
INTC,2024,Item_1A,INTC_2024_Item_1A_0013_cf28ed90,2844,4115,6959,36.294,6,7,ok
INTC,2024,Item_1A,INTC_2024_Item_1A_0007_6560bf56,2886,7629,10515,83.39,24,19,ok
INTC,2024,Item_1A,INTC_2024_Item_1A_0012_4f56bd2f,2834,6545,9379,51.576,13,13,ok
INTC,2024,Item_1A,INTC_2024_Item_1A_0010_bc6cab8d,2758,9713,12471,72.471,30,10,ok
INTC,2024,Item_1A,INTC_2024_Item_1A_0017_7a9ec96d,2767,3173,5940,25.288,8,0,ok
INTC,2024,Item_1A,INTC_2024_Item_1A_0016_de0a210c,2603,3758,6361,37.422,8,1,ok
INTC,2024,Item_1A,INTC_2024_Item_1A_0018_088ea34d,2826,3339,6165,27.505,7,1,ok
INTC,2024,Item_1A,INTC_2024_Item_1A_0021_7d3f2d46,2851,2907,5758,24.402,8,6,ok
INTC,2024,Item_1A,INTC_2024_Item_1A_0023_089dbea9,2841,3481,6322,28.26,9,3,ok
INTC,2024,Item_1A,INTC_2024_Item_1A_0020_f306dc6a,2779,6843,9622,47.294,23,13,ok
INTC,2024,Item_1A,INTC_2024_Item_1A_0024_9f4b85e9,2613,3536,6149,28.583,7,2,ok
INTC,2024,Item_1A,INTC_2024_Item_1A_0022_53c4847b,2532,5703,8235,41.177,10,8,ok
INTC,2024,Item_1A,INTC_2024_Item_1A_0015_81f5c711,2858,6085,8943,86.837,10,9,ok
INTC,2024,Item_1A,INTC_2024_Item_1A_0027_b2f490e7,2370,2274,4644,17.78,8,8,ok
INTC,2024,Item_1A,INTC_2024_Item_1A_0025_903ca903,2696,5277,7973,45.058,13,6,ok
INTC,2024,Item_1A,INTC_2024_Item_1A_0019_0ecc044f,2852,5061,7913,70.372,9,6,ok
INTC,2024,Item_7,INTC_2024_Item_7_0000_e2ea081b,2713,4201,6914,29.436,15,15,ok
INTC,2024,Item_7,INTC_2024_Item_7_0001_d1b7bdde,2952,4027,6979,29.784,11,10,ok
