ticker,fiscal_year,section,chunk_id,prompt_tokens,completion_tokens,total_tokens,latency_sec,n_nodes,n_relationships,status
MCHP,2024,Item_1,MCHP_2024_Item_1_0007_8ff9465a,2641,335,2976,6.528,6,0,ok
MCHP,2024,Item_1,MCHP_2024_Item_1_0005_c39d59ac,2603,302,2905,12.069,4,3,ok
MCHP,2024,Item_1,MCHP_2024_Item_1_0004_7838e2d9,2695,394,3089,12.683,5,4,ok
MCHP,2024,Item_1,MCHP_2024_Item_1_0003_45bb91f2,2627,500,3127,17.469,7,0,ok
MCHP,2024,Item_1,MCHP_2024_Item_1_0009_f9ca524f,2253,577,2830,6.774,7,5,ok
MCHP,2024,Item_1,MCHP_2024_Item_1_0002_40ba55f8,2652,1857,4509,25.797,19,18,ok
MCHP,2024,Item_1,MCHP_2024_Item_1_0006_bc41c1dc,2687,1331,4018,37.679,14,11,ok
MCHP,2024,Item_1,MCHP_2024_Item_1_0001_0dea4ef2,2662,1933,4595,46.445,22,21,ok
MCHP,2024,Item_1,MCHP_2024_Item_1_0008_bd109103,2944,2695,5639,37.793,5,4,ok
MCHP,2024,Item_1A,MCHP_2024_Item_1A_0002_7b4dd93b,2839,1641,4480,30.733,19,15,ok
MCHP,2024,Item_1,MCHP_2024_Item_1_0000_f01aec0e,2766,1870,4636,59.445,20,19,ok
MCHP,2024,Item_1A,MCHP_2024_Item_1A_0007_6801d7ba,2606,982,3588,19.251,9,9,ok
MCHP,2024,Item_1A,MCHP_2024_Item_1A_0008_289ccf73,2883,880,3763,14.266,9,9,ok
MCHP,2024,Item_1A,MCHP_2024_Item_1A_0006_d1bfba47,2562,1599,4161,26.55,16,16,ok
MCHP,2024,Item_1A,MCHP_2024_Item_1A_0003_15632bfb,2756,2646,5402,50.725,21,33,ok
MCHP,2024,Item_1A,MCHP_2024_Item_1A_0004_80e9ae7d,2825,1930,4755,39.711,17,19,ok
MCHP,2024,Item_1A,MCHP_2024_Item_1A_0005_b08c5960,2850,1843,4693,35.075,19,18,ok
MCHP,2024,Item_1A,MCHP_2024_Item_1A_0012_2fabdf2a,2747,1117,3864,15.795,11,12,ok
MCHP,2024,Item_1A,MCHP_2024_Item_1A_0013_819c6b1d,2841,1456,4297,22.222,14,13,ok
MCHP,2024,Item_1A,MCHP_2024_Item_1A_0014_218bea84,2830,1313,4143,19.707,12,12,ok
MCHP,2024,Item_1A,MCHP_2024_Item_1A_0015_54fb26ef,2582,827,3409,14.503,7,9,ok
MCHP,2024,Item_1A,MCHP_2024_Item_1A_0011_949ba40a,2870,2025,4895,32.897,17,21,ok
MCHP,2024,Item_1A,MCHP_2024_Item_1A_0001_ec023d45,2879,5560,8439,98.083,53,57,ok
MCHP,2024,Item_1A,MCHP_2024_Item_1A_0018_7dc954b2,2840,848,3688,18.561,8,7,ok
MCHP,2024,Item_1A,MCHP_2024_Item_1A_0017_58203ee5,2703,1317,4020,24.186,14,10,ok
MCHP,2024,Item_1A,MCHP_2024_Item_1A_0016_7e3a6cab,2764,999,3763,30.159,9,10,ok
MCHP,2024,Item_1A,MCHP_2024_Item_1A_0020_46e21925,2652,902,3554,17.761,8,8,ok
MCHP,2024,Item_1A,MCHP_2024_Item_1A_0019_997fbae4,2728,1659,4387,27.799,14,17,ok
MCHP,2024,Item_1A,MCHP_2024_Item_1A_0021_86d1ec9c,2704,1187,3891,20.585,8,12,ok
MCHP,2024,Item_1A,MCHP_2024_Item_1A_0023_7c379741,2681,939,3620,25.146,7,10,ok
MCHP,2024,Item_1A,MCHP_2024_Item_1A_0009_484c1f16,2802,2669,5471,84.145,26,25,ok
MCHP,2024,Item_1A,MCHP_2024_Item_1A_0024_7f82b4ab,2856,2086,4942,27.097,17,22,ok
MCHP,2024,Item_1A,MCHP_2024_Item_1A_0000_4e1ba27d,2880,6376,9256,146.46,60,59,ok
MCHP,2024,Item_1A,MCHP_2024_Item_1A_0022_22685b3f,2745,1466,4211,32.933,12,14,ok
MCHP,2024,Item_1A,MCHP_2024_Item_1A_0010_b6151d49,2805,3179,5984,97.088,31,32,ok
MCHP,2024,Item_1A,MCHP_2024_Item_1A_0025_08790b9b,2761,1369,4130,43.454,12,15,ok
MCHP,2024,Item_1A,MCHP_2024_Item_1A_0027_2303e048,2863,1044,3907,26.505,10,9,ok
MCHP,2024,Item_1A,MCHP_2024_Item_1A_0026_12f3cfc4,2775,2006,4781,38.662,13,24,ok
MCHP,2024,Item_1A,MCHP_2024_Item_1A_0028_4d938f95,2768,3557,6325,31.661,12,11,ok
MCHP,2024,Item_1A,MCHP_2024_Item_1A_0029_b73327fe,2725,1976,4701,36.948,18,21,ok
MCHP,2024,Item_1A,MCHP_2024_Item_1A_0033_939d5f33,2871,1084,3955,19.95,9,12,ok
MCHP,2024,Item_1A,MCHP_2024_Item_1A_0032_d412ee42,2662,1575,4237,31.224,17,14,ok
MCHP,2024,Item_1A,MCHP_2024_Item_1A_0039_f93d2521,2734,381,3115,5.705,4,3,ok
MCHP,2024,Item_1A,MCHP_2024_Item_1A_0031_24398f30,2851,2055,4906,48.139,17,21,ok
MCHP,2024,Item_1A,MCHP_2024_Item_1A_0037_67132c0b,2745,1309,4054,14.606,13,13,ok
MCHP,2024,Item_1A,MCHP_2024_Item_1A_0035_55fe44f8,2828,1998,4826,25.057,17,21,ok
MCHP,2024,Item_1A,MCHP_2024_Item_1A_0038_7a1da2e4,2850,912,3762,11.902,11,7,ok
MCHP,2024,Item_1A,MCHP_2024_Item_1A_0041_aec2ba29,2469,284,2753,4.691,3,2,ok
MCHP,2024,Item_1A,MCHP_2024_Item_1A_0034_2109e78b,2764,1761,4525,33.106,15,17,ok
MCHP,2024,Item_1A,MCHP_2024_Item_1A_0040_3cb4eded,2718,1376,4094,16.489,10,18,ok
MCHP,2024,Item_1A,MCHP_2024_Item_1A_0030_9442c96d,2845,2448,5293,65.254,29,19,ok
MCHP,2024,Item_7,MCHP_2024_Item_7_0003_2de3b54f,2867,1084,3951,10.62,12,11,ok
MCHP,2024,Item_7,MCHP_2024_Item_7_0002_883cdb41,2866,1754,4620,15.519,19,20,ok
