ticker,fiscal_year,section,chunk_id,prompt_tokens,completion_tokens,total_tokens,latency_sec,n_nodes,n_relationships,status
MPWR,2024,Item_1,MPWR_2024_Item_1_0003_5290a7bb,2698,301,2999,17.056,8,0,ok
MPWR,2024,Item_1,MPWR_2024_Item_1_0006_98fa6ccc,2728,2335,5063,23.125,8,0,ok
MPWR,2024,Item_1,MPWR_2024_Item_1_0004_dd01dda4,2494,2660,5154,25.57,7,0,ok
MPWR,2024,Item_1,MPWR_2024_Item_1_0008_f8a26b44,2222,1521,3743,13.534,1,0,ok
MPWR,2024,Item_1,MPWR_2024_Item_1_0001_7c0dd353,2945,3819,6764,35.794,11,0,ok
MPWR,2024,Item_1,MPWR_2024_Item_1_0000_edb1c479,2645,3891,6536,35.8,18,17,ok
MPWR,2024,Item_1,MPWR_2024_Item_1_0007_0baa953f,2872,1910,4782,61.3,2,1,ok
MPWR,2024,Item_1A,MPWR_2024_Item_1A_0004_88139d94,2757,3034,5791,26.562,8,6,ok
MPWR,2024,Item_1,MPWR_2024_Item_1_0005_e41bee1a,2589,2237,4826,70.022,11,0,ok
MPWR,2024,Item_1,MPWR_2024_Item_1_0002_ce4a071e,2768,2637,5405,79.164,9,0,ok
MPWR,2024,Item_1A,MPWR_2024_Item_1A_0000_c4293452,2891,8200,11091,68.274,24,11,ok
MPWR,2024,Item_1A,MPWR_2024_Item_1A_0006_7220233d,2721,4283,7004,37.055,11,8,ok
MPWR,2024,Item_1A,MPWR_2024_Item_1A_0008_a1d3d1ef,2707,2561,5268,23.053,4,3,ok
MPWR,2024,Item_1A,MPWR_2024_Item_1A_0005_015456b2,2798,5144,7942,45.045,13,5,ok
MPWR,2024,Item_1A,MPWR_2024_Item_1A_0003_a5af57dd,2727,8368,11095,72.473,13,21,ok
MPWR,2024,Item_1A,MPWR_2024_Item_1A_0010_361de3d2,2806,1007,3813,10.185,3,0,ok
MPWR,2024,Item_1A,MPWR_2024_Item_1A_0009_4e27472f,2726,3070,5796,28.226,7,7,ok
MPWR,2024,Item_1A,MPWR_2024_Item_1A_0002_91b1d85e,2840,11889,14729,101.349,45,8,ok
