ticker,fiscal_year,section,chunk_id,prompt_tokens,completion_tokens,total_tokens,latency_sec,n_nodes,n_relationships,status
MU,2023,Item_1,MU_2023_Item_1_0007_3d1e6086,2715,1154,3869,27.0,2,0,ok
MU,2023,Item_1,MU_2023_Item_1_0000_c1e2a654,2724,1985,4709,32.455,6,5,ok
MU,2023,Item_1,MU_2023_Item_1_0005_91e3e192,2676,3151,5827,40.342,13,12,ok
MU,2023,Item_1,MU_2023_Item_1_0006_3bb3967c,2592,3137,5729,40.736,17,0,ok
MU,2023,Item_1,MU_2023_Item_1_0009_5e18b405,2719,1407,4126,11.756,4,3,ok
MU,2023,Item_1,MU_2023_Item_1_0001_70be5bda,2806,4394,7200,47.692,15,17,ok
MU,2023,Item_1,MU_2023_Item_1_0003_fb3cb967,2849,5469,8318,51.706,23,23,ok
MU,2023,Item_1,MU_2023_Item_1_0008_cf926313,2775,3802,6577,27.429,13,12,ok
MU,2023,Item_1,MU_2023_Item_1_0011_0e1b940d,2534,1837,4371,14.171,5,4,ok
MU,2023,Item_1,MU_2023_Item_1_0010_d00d4866,2669,1738,4407,15.105,1,0,ok
MU,2023,Item_1,MU_2023_Item_1_0002_74d97a0e,2787,5100,7887,56.475,19,0,ok
MU,2023,Item_1,MU_2023_Item_1_0014_0e83b49e,2087,575,2662,5.532,0,0,ok
MU,2023,Item_1,MU_2023_Item_1_0004_fcaccc78,2733,6397,9130,67.637,15,11,ok
MU,2023,Item_1,MU_2023_Item_1_0012_0ef610fc,2890,3409,6299,26.734,11,2,ok
MU,2023,Item_1,MU_2023_Item_1_0013_c12aeeff,2871,3728,6599,31.136,5,4,ok
MU,2023,Item_1A,MU_2023_Item_1A_0005_b2e2a9f1,2627,1935,4562,14.374,6,4,ok
MU,2023,Item_1A,MU_2023_Item_1A_0004_d5ebe913,2815,3292,6107,25.959,6,0,ok
MU,2023,Item_1A,MU_2023_Item_1A_0000_426cfeaa,2911,3458,6369,29.489,3,2,ok
MU,2023,Item_1A,MU_2023_Item_1A_0001_1b8ef3ed,2823,6026,8849,40.348,21,19,ok
MU,2023,Item_1A,MU_2023_Item_1A_0006_722e553c,2678,3436,6114,26.635,11,0,ok
MU,2023,Item_1A,MU_2023_Item_1A_0002_e54b8152,2847,6976,9823,45.836,34,26,ok
MU,2023,Item_1A,MU_2023_Item_1A_0009_2f9a136b,2802,2273,5075,17.727,9,1,ok
MU,2023,Item_1A,MU_2023_Item_1A_0003_92be33e3,2848,7314,10162,51.255,23,21,ok
MU,2023,Item_1A,MU_2023_Item_1A_0010_9e151f4c,2832,3219,6051,23.845,10,14,ok
MU,2023,Item_1A,MU_2023_Item_1A_0008_86ce669f,2772,4154,6926,28.095,14,6,ok
MU,2023,Item_1A,MU_2023_Item_1A_0013_0240288c,2869,1188,4057,10.638,2,0,ok
MU,2023,Item_1A,MU_2023_Item_1A_0012_3fc4fffa,2816,1903,4719,16.0,3,0,ok
MU,2023,Item_1A,MU_2023_Item_1A_0007_c5203e47,2703,4746,7449,37.256,12,4,ok
MU,2023,Item_1A,MU_2023_Item_1A_0015_4f2dfecd,2836,1738,4574,15.053,3,0,ok
MU,2023,Item_1A,MU_2023_Item_1A_0011_74039fd8,2832,3766,6598,27.844,6,4,ok
MU,2023,Item_1A,MU_2023_Item_1A_0014_80dfa4e8,2874,3905,6779,31.268,6,2,ok
MU,2023,Item_1A,MU_2023_Item_1A_0022_9ae91e3b,2374,1041,3415,10.104,0,0,ok
MU,2023,Item_1A,MU_2023_Item_1A_0020_ad15e4b6,2889,3229,6118,25.299,6,3,ok
MU,2023,Item_1A,MU_2023_Item_1A_0021_4e3af27e,2899,3179,6078,22.932,18,8,ok
MU,2023,Item_1A,MU_2023_Item_1A_0017_ccf426fc,2840,4596,7436,35.564,6,10,ok
MU,2023,Item_1A,MU_2023_Item_1A_0018_784dc4cf,2917,4756,7673,33.833,8,6,ok
MU,2023,Item_1A,MU_2023_Item_1A_0016_0f3eedbc,2823,6063,8886,46.209,10,8,ok
MU,2023,Item_1A,MU_2023_Item_1A_0019_28f91dd5,2740,7419,10159,55.073,10,6,ok
MU,2023,Item_7,MU_2023_Item_7_0000_e9f96198,2835,7978,10813,53.356,24,21,ok
MU,2023,Item_7,MU_2023_Item_7_0001_2dba5c20,3319,8380,11699,62.019,23,6,ok
MU,2023,Item_7,MU_2023_Item_7_0002_c0fab91a,3239,8641,11880,54.464,27,23,ok
MU,2023,Item_7,MU_2023_Item_7_0005_c1d0f140,3006,7589,10595,54.874,17,16,ok
MU,2023,Item_7,MU_2023_Item_7_0006_dca73ece,2992,6645,9637,46.882,22,2,ok
MU,2023,Item_7,MU_2023_Item_7_0004_abbaac03,3040,8906,11946,60.706,23,17,ok
MU,2023,Item_7,MU_2023_Item_7_0003_2574b2e1,3103,9341,12444,69.893,19,16,ok
MU,2023,Item_7,MU_2023_Item_7_0008_841b9b5c,2724,4132,6856,29.291,12,0,ok
MU,2023,Item_7,MU_2023_Item_7_0010_77cf76fb,2999,3268,6267,23.396,11,0,ok
MU,2023,Item_7,MU_2023_Item_7_0007_812b0ead,2969,7274,10243,54.189,4,2,ok
MU,2023,Item_7,MU_2023_Item_7_0009_fa56fa81,2742,4447,7189,29.938,22,0,ok
MU,2023,Item_7,MU_2023_Item_7_0011_587a83ee,2547,6409,8956,44.473,19,9,ok
MU,2024,Item_1,MU_2024_Item_1_0006_6b1663cd,2646,1961,4607,15.232,11,0,ok
MU,2024,Item_1,MU_2024_Item_1_0000_82417507,2718,3755,6473,24.884,15,14,ok
MU,2024,Item_1,MU_2024_Item_1_0007_c4c7821a,2672,3318,5990,25.08,17,0,ok
MU,2024,Item_1,MU_2024_Item_1_0008_545cb750,2637,1579,4216,13.614,2,0,ok
MU,2024,Item_1,MU_2024_Item_1_0004_6e2de1a4,2800,4458,7258,29.973,16,17,ok
MU,2024,Item_1,MU_2024_Item_1_0010_56b93957,2740,1253,3993,9.219,4,3,ok
MU,2024,Item_1,MU_2024_Item_1_0002_473014b9,2814,5813,8627,35.935,23,22,ok
MU,2024,Item_1,MU_2024_Item_1_0003_acd8d0ff,2831,5879,8710,35.937,19,22,ok
MU,2024,Item_1,MU_2024_Item_1_0011_d1f398fe,2571,946,3517,7.663,2,1,ok
MU,2024,Item_1,MU_2024_Item_1_0005_b859625b,2745,6186,8931,41.605,19,18,ok
MU,2024,Item_1,MU_2024_Item_1_0015_fef31e89,2211,1377,3588,10.954,2,1,ok
MU,2024,Item_1,MU_2024_Item_1_0012_e16d3120,2663,2325,4988,17.317,5,4,ok
MU,2024,Item_1,MU_2024_Item_1_0013_b2761ffd,2652,2045,4697,17.094,3,0,ok
MU,2024,Item_1,MU_2024_Item_1_0001_90ffbd18,2812,8906,11718,56.639,19,21,ok
MU,2024,Item_1,MU_2024_Item_1_0009_25e18f42,2758,5838,8596,39.225,20,19,ok
MU,2024,Item_1,MU_2024_Item_1_0014_ea2fc3bb,2877,3912,6789,28.755,13,1,ok
MU,2024,Item_1A,MU_2024_Item_1A_0001_703555bd,2779,5127,7906,33.248,15,19,ok
MU,2024,Item_1A,MU_2024_Item_1A_0000_f8b731d8,2763,5781,8544,40.374,10,1,ok
MU,2024,Item_1A,MU_2024_Item_1A_0007_485c6b67,2732,4149,6881,30.208,14,1,ok
MU,2024,Item_1A,MU_2024_Item_1A_0005_fa3f9f52,2859,6172,9031,39.331,26,29,ok
MU,2024,Item_1A,MU_2024_Item_1A_0004_6b8d5aad,2779,6931,9710,48.316,10,7,ok
MU,2024,Item_1A,MU_2024_Item_1A_0006_66decdb7,2843,5524,8367,41.306,13,0,ok
MU,2024,Item_1A,MU_2024_Item_1A_0003_29024e83,2881,8806,11687,61.368,27,18,ok
MU,2024,Item_1A,MU_2024_Item_1A_0009_5d0f30a5,2725,4858,7583,37.337,13,3,ok
MU,2024,Item_1A,MU_2024_Item_1A_0002_729edc71,2860,10540,13400,66.796,33,8,ok
MU,2024,Item_1A,MU_2024_Item_1A_0012_8c72cf98,2784,2541,5325,19.681,3,2,ok
MU,2024,Item_1A,MU_2024_Item_1A_0011_21877cea,2774,3117,5891,24.254,6,3,ok
MU,2024,Item_1A,MU_2024_Item_1A_0013_33657c15,2850,2262,5112,16.492,6,5,ok
MU,2024,Item_1A,MU_2024_Item_1A_0010_de699648,2828,4061,6889,30.597,9,2,ok
MU,2024,Item_1A,MU_2024_Item_1A_0014_d9a817bd,2838,3004,5842,22.24,6,2,ok
MU,2024,Item_1A,MU_2024_Item_1A_0015_de8e976d,2760,2422,5182,19.071,7,0,ok
MU,2024,Item_1A,MU_2024_Item_1A_0016_d3d30d7c,2843,3206,6049,24.556,4,0,ok
MU,2024,Item_1A,MU_2024_Item_1A_0008_1c59442c,2813,9233,12046,67.362,16,7,ok
MU,2024,Item_1A,MU_2024_Item_1A_0024_1d14d5b5,2833,1379,4212,10.466,9,1,ok
MU,2024,Item_1A,MU_2024_Item_1A_0020_ea5484d3,2888,4779,7667,34.135,9,3,ok
