ticker,fiscal_year,section,chunk_id,prompt_tokens,completion_tokens,total_tokens,latency_sec,n_nodes,n_relationships,status
NVDA,2024,Item_1,NVDA_2024_Item_1_0000_40209911,2469,1769,4238,16.085,3,2,ok
NVDA,2024,Item_1,NVDA_2024_Item_1_0006_f3efd950,2577,2522,5099,22.747,2,1,ok
NVDA,2024,Item_1,NVDA_2024_Item_1_0004_12c02096,2618,2926,5544,22.773,10,9,ok
NVDA,2024,Item_1,NVDA_2024_Item_1_0005_7f985cdb,2750,4121,6871,28.34,19,18,ok
NVDA,2024,Item_1,NVDA_2024_Item_1_0003_59fa75a8,2687,4332,7019,30.78,15,14,ok
NVDA,2024,Item_1,NVDA_2024_Item_1_0002_2ddf2e3b,2739,4883,7622,36.175,19,18,ok
NVDA,2024,Item_1,NVDA_2024_Item_1_0011_5662fa87,2735,689,3424,7.376,2,1,ok
NVDA,2024,Item_1,NVDA_2024_Item_1_0001_ee051c1b,2772,6177,8949,48.232,14,12,ok
NVDA,2024,Item_1,NVDA_2024_Item_1_0012_e3eecadc,2808,2187,4995,19.504,10,1,ok
NVDA,2024,Item_1,NVDA_2024_Item_1_0010_92844116,2705,2745,5450,27.887,4,3,ok
NVDA,2024,Item_1,NVDA_2024_Item_1_0007_bae70036,2704,7289,9993,53.415,20,12,ok
NVDA,2024,Item_1,NVDA_2024_Item_1_0013_e7a16c2e,2434,1986,4420,18.847,2,1,ok
NVDA,2024,Item_1,NVDA_2024_Item_1_0009_0d8840da,2763,4524,7287,37.448,21,11,ok
NVDA,2024,Item_1,NVDA_2024_Item_1_0008_20833acc,2691,6195,8886,45.643,32,5,ok
NVDA,2024,Item_1A,NVDA_2024_Item_1A_0003_3aa88508,2724,5029,7753,40.349,17,17,ok
NVDA,2024,Item_1A,NVDA_2024_Item_1A_0002_be4fd00f,2862,5149,8011,42.874,12,12,ok
NVDA,2024,Item_1A,NVDA_2024_Item_1A_0001_6052d4e3,2803,6551,9354,50.616,15,19,ok
NVDA,2024,Item_1A,NVDA_2024_Item_1A_0004_9e25bed3,2782,5836,8618,47.92,13,10,ok
NVDA,2024,Item_1A,NVDA_2024_Item_1A_0006_037a8dbd,2746,6152,8898,44.683,21,39,ok
NVDA,2024,Item_1A,NVDA_2024_Item_1A_0007_c91a1897,2875,5787,8662,47.669,13,10,ok
NVDA,2024,Item_1A,NVDA_2024_Item_1A_0000_a0965c15,2876,11177,14053,85.162,33,8,ok
NVDA,2024,Item_1A,NVDA_2024_Item_1A_0005_cfd1d3e1,2844,7938,10782,66.553,24,27,ok
NVDA,2024,Item_1A,NVDA_2024_Item_1A_0011_d744ae15,2790,3443,6233,25.576,7,10,ok
NVDA,2024,Item_1A,NVDA_2024_Item_1A_0010_06d40e65,2701,3431,6132,28.948,6,0,ok
NVDA,2024,Item_1A,NVDA_2024_Item_1A_0009_58e16c0f,2578,4157,6735,34.662,9,7,ok
NVDA,2024,Item_1A,NVDA_2024_Item_1A_0014_72f643e5,2848,2234,5082,17.213,6,8,ok
NVDA,2024,Item_1A,NVDA_2024_Item_1A_0012_cfebe043,2812,6331,9143,44.878,17,12,ok
NVDA,2024,Item_1A,NVDA_2024_Item_1A_0017_c5ab6f12,2369,4556,6925,31.586,14,5,ok
NVDA,2024,Item_1A,NVDA_2024_Item_1A_0015_d8531fc0,2812,5010,7822,37.877,13,1,ok
NVDA,2024,Item_1A,NVDA_2024_Item_1A_0008_ff415b2c,2601,9515,12116,70.307,28,11,ok
NVDA,2024,Item_1A,NVDA_2024_Item_1A_0018_aa47ec2b,2727,4294,7021,34.374,10,8,ok
NVDA,2024,Item_1A,NVDA_2024_Item_1A_0013_b958ec33,2810,7802,10612,52.636,24,16,ok
NVDA,2024,Item_1A,NVDA_2024_Item_1A_0016_0be6cad4,2809,5101,7910,37.489,11,7,ok
NVDA,2024,Item_1A,NVDA_2024_Item_1A_0023_d880ebcd,2818,4013,6831,34.731,9,0,ok
NVDA,2024,Item_1A,NVDA_2024_Item_1A_0025_3d513aa4,2685,4133,6818,32.934,14,7,ok
NVDA,2024,Item_1A,NVDA_2024_Item_1A_0020_ac4ad7b4,2821,7422,10243,49.599,33,35,ok
NVDA,2024,Item_1A,NVDA_2024_Item_1A_0021_3fa26c8d,2620,5081,7701,42.723,11,11,ok
NVDA,2024,Item_1A,NVDA_2024_Item_1A_0022_b1d57eb9,2835,6682,9517,49.618,21,26,ok
NVDA,2024,Item_1A,NVDA_2024_Item_1A_0024_846cb064,2807,6198,9005,49.515,10,4,ok
NVDA,2024,Item_1A,NVDA_2024_Item_1A_0019_ea1fd2e4,2864,10175,13039,73.034,22,19,ok
NVDA,2024,Item_1A,NVDA_2024_Item_1A_0029_75e28e7f,2719,1421,4140,13.183,0,0,ok
NVDA,2024,Item_1A,NVDA_2024_Item_1A_0030_078cdd08,2371,1111,3482,11.348,0,0,ok
NVDA,2024,Item_1A,NVDA_2024_Item_1A_0026_1540a4ce,2730,7585,10315,59.41,17,10,ok
NVDA,2024,Item_1A,NVDA_2024_Item_1A_0027_bd75bc65,2792,3566,6358,30.352,6,3,ok
NVDA,2024,Item_1A,NVDA_2024_Item_1A_0028_a52393b6,2850,4842,7692,38.898,9,9,ok
NVDA,2024,Item_7,NVDA_2024_Item_7_0000_fb7753f5,2676,4480,7156,35.959,10,9,ok
NVDA,2024,Item_7,NVDA_2024_Item_7_0005_142c978e,2891,4837,7728,35.134,14,13,ok
NVDA,2024,Item_7,NVDA_2024_Item_7_0006_e75426d0,3300,5364,8664,38.271,20,21,ok
NVDA,2024,Item_7,NVDA_2024_Item_7_0002_286a8489,2842,8020,10862,58.315,21,26,ok
NVDA,2024,Item_7,NVDA_2024_Item_7_0001_e54592ef,2901,8634,11535,60.375,30,31,ok
NVDA,2024,Item_7,NVDA_2024_Item_7_0007_d25e117d,3015,5643,8658,42.276,15,14,ok
NVDA,2024,Item_7,NVDA_2024_Item_7_0004_5f9dd035,2854,9790,12644,72.194,25,23,ok
NVDA,2024,Item_7,NVDA_2024_Item_7_0011_1a03cd23,2845,3138,5983,25.342,2,0,ok
NVDA,2024,Item_7,NVDA_2024_Item_7_0010_bf063625,3111,5472,8583,43.109,14,3,ok
NVDA,2024,Item_7,NVDA_2024_Item_7_0008_87f7424d,3251,9708,12959,66.858,19,25,ok
NVDA,2024,Item_7,NVDA_2024_Item_7_0003_ba144df9,3081,14921,18002,102.375,28,37,ok
NVDA,2024,Item_7,NVDA_2024_Item_7_0009_6a4edfbf,3053,10846,13899,74.83,18,14,ok
NVDA,2025,Item_1,NVDA_2025_Item_1_0000_ae388e7d,2471,1211,3682,9.628,3,2,ok
NVDA,2025,Item_1,NVDA_2025_Item_1_0006_2906602b,2619,2735,5354,19.858,11,10,ok
NVDA,2025,Item_1,NVDA_2025_Item_1_0007_056b356d,2635,2952,5587,20.512,7,6,ok
NVDA,2025,Item_1,NVDA_2025_Item_1_0005_85d95b7e,2634,3473,6107,22.377,12,11,ok
NVDA,2025,Item_1,NVDA_2025_Item_1_0004_e3993ed7,2724,3980,6704,25.413,11,11,ok
NVDA,2025,Item_1,NVDA_2025_Item_1_0003_ccc9ed65,2652,4640,7292,29.743,16,15,ok
NVDA,2025,Item_1,NVDA_2025_Item_1_0012_6d12336f,2711,526,3237,5.017,1,0,ok
NVDA,2025,Item_1,NVDA_2025_Item_1_0002_b74647bb,2719,5507,8226,37.086,21,20,ok
NVDA,2025,Item_1,NVDA_2025_Item_1_0011_0c73b8a0,2761,2563,5324,19.092,4,3,ok
NVDA,2025,Item_1,NVDA_2025_Item_1_0001_dbfd59e1,2802,6483,9285,45.327,16,14,ok
NVDA,2025,Item_1,NVDA_2025_Item_1_0013_68acf6cc,2838,2114,4952,17.029,2,1,ok
NVDA,2025,Item_1,NVDA_2025_Item_1_0010_ad20d7da,2736,4130,6866,27.609,20,19,ok
NVDA,2025,Item_1,NVDA_2025_Item_1_0014_ba218a1e,2434,2786,5220,21.205,8,1,ok
NVDA,2025,Item_1,NVDA_2025_Item_1_0008_a4407f7e,2752,6250,9002,43.432,27,1,ok
NVDA,2025,Item_1A,NVDA_2025_Item_1A_0002_1eba954b,2778,1698,4476,11.85,5,4,ok
NVDA,2025,Item_1,NVDA_2025_Item_1_0009_7a56593b,2773,5904,8677,39.095,38,37,ok
NVDA,2025,Item_1A,NVDA_2025_Item_1A_0001_a8b815e7,2773,3641,6414,23.575,15,12,ok
NVDA,2025,Item_1A,NVDA_2025_Item_1A_0004_68f8bb34,2700,3734,6434,24.928,16,17,ok
NVDA,2025,Item_1A,NVDA_2025_Item_1A_0006_91516a1d,2818,3449,6267,24.734,10,0,ok
NVDA,2025,Item_1A,NVDA_2025_Item_1A_0000_91369d62,2879,6660,9539,43.383,25,0,ok
NVDA,2025,Item_1A,NVDA_2025_Item_1A_0005_67670d7e,2857,4133,6990,30.451,10,9,ok
NVDA,2025,Item_1A,NVDA_2025_Item_1A_0009_6334facf,2783,3342,6125,24.552,8,8,ok
NVDA,2025,Item_1A,NVDA_2025_Item_1A_0003_9003fee7,2796,6578,9374,47.087,15,17,ok
NVDA,2025,Item_1A,NVDA_2025_Item_1A_0013_24240685,2859,1495,4354,11.794,1,0,ok
NVDA,2025,Item_1A,NVDA_2025_Item_1A_0010_1343e341,2690,4125,6815,28.621,10,14,ok
NVDA,2025,Item_1A,NVDA_2025_Item_1A_0007_dc4b35b9,2781,7844,10625,56.04,13,6,ok
NVDA,2025,Item_1A,NVDA_2025_Item_1A_0011_73ccc24d,2765,5882,8647,40.223,18,11,ok
NVDA,2025,Item_1A,NVDA_2025_Item_1A_0014_cb6bb251,2833,4217,7050,34.339,9,3,ok
NVDA,2025,Item_1A,NVDA_2025_Item_1A_0008_96be6955,2723,9578,12301,70.987,23,19,ok
NVDA,2025,Item_1A,NVDA_2025_Item_1A_0017_1794e2d9,2652,4167,6819,29.501,12,15,ok
NVDA,2025,Item_1A,NVDA_2025_Item_1A_0012_f83e6ffd,2833,7295,10128,51.648,16,16,ok
NVDA,2025,Item_1A,NVDA_2025_Item_1A_0015_35e3e02e,2821,4279,7100,38.565,5,0,ok
NVDA,2025,Item_1A,NVDA_2025_Item_1A_0016_706c87e3,2368,5899,8267,44.611,12,7,ok
NVDA,2025,Item_1A,NVDA_2025_Item_1A_0018_fecf7c8e,2804,4830,7634,36.555,13,11,ok
NVDA,2025,Item_1A,NVDA_2025_Item_1A_0019_46eda166,2811,4843,7654,37.648,15,15,ok
NVDA,2025,Item_1A,NVDA_2025_Item_1A_0021_7d1e08ec,2827,4454,7281,31.716,16,13,ok
NVDA,2025,Item_1A,NVDA_2025_Item_1A_0023_67392e5b,2836,4485,7321,35.772,15,12,ok
NVDA,2025,Item_1A,NVDA_2025_Item_1A_0025_57cd0c39,2709,3446,6155,31.627,4,1,ok
NVDA,2025,Item_1A,NVDA_2025_Item_1A_0022_5dc58771,2285,4746,7031,42.417,4,4,ok
