ticker,fiscal_year,section,chunk_id,prompt_tokens,completion_tokens,total_tokens,latency_sec,n_nodes,n_relationships,status
ON,2024,Item_1,ON_2024_Item_1_0007_a03ad18a,2630,271,2901,23.096,4,2,ok
ON,2024,Item_1,ON_2024_Item_1_0000_90c99065,2724,1043,3767,31.718,12,11,ok
ON,2024,Item_1,ON_2024_Item_1_0008_4df6fca3,2668,753,3421,27.342,9,6,ok
ON,2024,Item_1,ON_2024_Item_1_0009_ac397e60,2760,969,3729,33.019,12,11,ok
ON,2024,Item_1,ON_2024_Item_1_0003_0ec6a058,2878,1634,4512,65.505,17,5,ok
ON,2024,Item_1,ON_2024_Item_1_0010_ce9b1301,2730,824,3554,20.313,11,3,ok
ON,2024,Item_1,ON_2024_Item_1_0004_7286aa90,2695,1558,4253,72.607,15,0,ok
ON,2024,Item_1A,ON_2024_Item_1A_0000_5ac8c36e,2792,483,3275,7.273,4,5,ok
ON,2024,Item_1,ON_2024_Item_1_0002_2f561163,2694,3418,6112,81.309,35,3,ok
ON,2024,Item_1,ON_2024_Item_1_0001_3c93ceba,2967,2601,5568,97.158,28,8,ok
ON,2024,Item_1A,ON_2024_Item_1A_0001_7212f9f2,2778,999,3777,26.914,9,10,ok
ON,2024,Item_1,ON_2024_Item_1_0006_ac0b4e0e,3063,2328,5391,99.821,25,23,ok
ON,2024,Item_1,ON_2024_Item_1_0011_9825aa60,2598,1434,4032,40.145,17,8,ok
ON,2024,Item_1A,ON_2024_Item_1A_0003_0b996fdd,2774,1506,4280,40.105,11,15,ok
ON,2024,Item_1A,ON_2024_Item_1A_0002_7d60db5e,2786,1715,4501,42.667,16,15,ok
ON,2024,Item_1A,ON_2024_Item_1A_0004_ff987034,2712,1923,4635,46.099,16,20,ok
ON,2024,Item_1A,ON_2024_Item_1A_0007_a854b402,2847,1165,4012,31.246,10,11,ok
ON,2024,Item_1A,ON_2024_Item_1A_0009_51beecc1,2759,712,3471,22.796,6,7,ok
ON,2024,Item_1A,ON_2024_Item_1A_0005_9c78d882,2766,1471,4237,44.327,12,12,ok
ON,2024,Item_1A,ON_2024_Item_1A_0008_23f0cbc1,2810,679,3489,39.422,6,7,ok
ON,2024,Item_1,ON_2024_Item_1_0005_02c62eb6,2557,3974,6531,148.011,46,0,ok
ON,2024,Item_1A,ON_2024_Item_1A_0006_6da6660f,2818,1600,4418,56.675,11,20,ok
ON,2024,Item_1A,ON_2024_Item_1A_0011_f80410b7,2788,906,3694,29.459,7,9,ok
ON,2024,Item_1A,ON_2024_Item_1A_0010_7a96db27,2780,1269,4049,44.056,10,13,ok
ON,2024,Item_1A,ON_2024_Item_1A_0014_10f0de6a,2742,911,3653,21.965,8,8,ok
ON,2024,Item_1A,ON_2024_Item_1A_0017_4dea55dd,2758,593,3351,11.89,6,5,ok
