ticker,fiscal_year,section,chunk_id,prompt_tokens,completion_tokens,total_tokens,latency_sec,n_nodes,n_relationships,status
QCOM,2023,Item_1,QCOM_2023_Item_1_0003_998a5af4,2644,939,3583,11.955,0,0,ok
QCOM,2023,Item_1,QCOM_2023_Item_1_0000_6f6e0d03,2632,1608,4240,15.322,4,3,ok
QCOM,2023,Item_1,QCOM_2023_Item_1_0004_7e1ae211,2772,1688,4460,18.689,0,0,ok
QCOM,2023,Item_1,QCOM_2023_Item_1_0001_0255593a,2644,2527,5171,20.111,6,5,ok
QCOM,2023,Item_1,QCOM_2023_Item_1_0007_3c2751d3,2725,2357,5082,22.55,5,4,ok
QCOM,2023,Item_1,QCOM_2023_Item_1_0006_327497d6,2704,2540,5244,24.707,5,4,ok
QCOM,2023,Item_1,QCOM_2023_Item_1_0002_3cf7bb37,2671,3051,5722,29.426,7,0,ok
QCOM,2023,Item_1,QCOM_2023_Item_1_0005_0a8b620e,2720,3271,5991,32.106,7,0,ok
QCOM,2023,Item_1,QCOM_2023_Item_1_0010_8bc350ee,2527,2435,4962,18.811,14,13,ok
QCOM,2023,Item_1,QCOM_2023_Item_1_0015_6fe54bec,2715,1008,3723,9.368,2,1,ok
QCOM,2023,Item_1,QCOM_2023_Item_1_0011_4f96a0a2,2606,2815,5421,23.34,10,9,ok
QCOM,2023,Item_1,QCOM_2023_Item_1_0008_d5330f33,2700,4515,7215,33.709,15,14,ok
QCOM,2023,Item_1,QCOM_2023_Item_1_0012_39ba9aae,2725,3500,6225,33.667,1,0,ok
QCOM,2023,Item_1,QCOM_2023_Item_1_0013_21bc21f6,2635,3440,6075,31.008,9,8,ok
QCOM,2023,Item_1,QCOM_2023_Item_1_0014_22b84e56,2638,2825,5463,26.577,3,2,ok
QCOM,2023,Item_1,QCOM_2023_Item_1_0009_cd1200d0,2416,4956,7372,40.265,17,15,ok
QCOM,2023,Item_1,QCOM_2023_Item_1_0016_b94c89b2,2767,2396,5163,22.69,3,2,ok
QCOM,2023,Item_1,QCOM_2023_Item_1_0018_47e7130b,2658,1921,4579,20.602,2,0,ok
QCOM,2023,Item_1,QCOM_2023_Item_1_0020_54b0a70f,2448,1706,4154,16.28,4,3,ok
QCOM,2023,Item_1,QCOM_2023_Item_1_0017_8c7a76f6,2687,3630,6317,33.295,10,0,ok
QCOM,2023,Item_1,QCOM_2023_Item_1_0019_20479ccd,2951,3251,6202,29.987,6,5,ok
QCOM,2023,Item_1A,QCOM_2023_Item_1A_0000_b8bdef1c,2826,4238,7064,38.106,6,1,ok
QCOM,2023,Item_1A,QCOM_2023_Item_1A_0006_06fde91f,2677,2712,5389,25.272,4,0,ok
QCOM,2023,Item_1A,QCOM_2023_Item_1A_0002_eb5b0649,2863,5184,8047,42.455,14,10,ok
QCOM,2023,Item_1A,QCOM_2023_Item_1A_0001_b736b08b,2704,6361,9065,50.05,17,14,ok
QCOM,2023,Item_1A,QCOM_2023_Item_1A_0004_2723ed85,2616,5539,8155,48.597,13,8,ok
QCOM,2023,Item_1A,QCOM_2023_Item_1A_0009_ba7fead1,2687,1200,3887,13.22,0,0,ok
QCOM,2023,Item_1A,QCOM_2023_Item_1A_0005_7309ec76,2848,5165,8013,46.138,6,5,ok
QCOM,2023,Item_1A,QCOM_2023_Item_1A_0003_a3ca466c,2750,7859,10609,64.513,10,8,ok
QCOM,2023,Item_1A,QCOM_2023_Item_1A_0007_266867b4,2836,5591,8427,48.865,8,4,ok
QCOM,2023,Item_1A,QCOM_2023_Item_1A_0013_b6e52696,2785,1437,4222,14.387,2,0,ok
QCOM,2023,Item_1A,QCOM_2023_Item_1A_0011_b48062a8,2648,3561,6209,32.825,2,0,ok
QCOM,2023,Item_1A,QCOM_2023_Item_1A_0008_bf775a4e,2756,7022,9778,50.386,25,17,ok
QCOM,2023,Item_1A,QCOM_2023_Item_1A_0014_9b90b19c,2713,3376,6089,28.135,7,10,ok
QCOM,2023,Item_1A,QCOM_2023_Item_1A_0016_755ae352,2785,3623,6408,27.512,12,10,ok
QCOM,2023,Item_1A,QCOM_2023_Item_1A_0017_68818e29,2820,5368,8188,39.389,10,8,ok
QCOM,2023,Item_1A,QCOM_2023_Item_1A_0012_4485cd4e,2810,7034,9844,57.327,10,7,ok
QCOM,2023,Item_1A,QCOM_2023_Item_1A_0010_0212cf81,2670,8721,11391,70.108,14,10,ok
QCOM,2023,Item_1A,QCOM_2023_Item_1A_0019_8d79641d,2651,4315,6966,35.67,8,11,ok
QCOM,2023,Item_1A,QCOM_2023_Item_1A_0015_e9375193,2661,7914,10575,62.222,11,15,ok
QCOM,2023,Item_1A,QCOM_2023_Item_1A_0021_1e464674,2794,5882,8676,42.037,20,27,ok
QCOM,2023,Item_1A,QCOM_2023_Item_1A_0020_21488e05,2727,7271,9998,58.835,14,8,ok
QCOM,2023,Item_1A,QCOM_2023_Item_1A_0023_7335c8fd,2814,4592,7406,35.547,17,18,ok
QCOM,2023,Item_1A,QCOM_2023_Item_1A_0025_5d2e5d43,2800,2914,5714,26.923,2,1,ok
QCOM,2023,Item_1A,QCOM_2023_Item_1A_0022_9a85b32b,2676,4477,7153,41.363,6,0,ok
QCOM,2023,Item_1A,QCOM_2023_Item_1A_0018_e1eadf84,2838,9918,12756,70.437,17,36,ok
QCOM,2023,Item_1A,QCOM_2023_Item_1A_0024_f4fd52f5,2793,6736,9529,52.019,13,7,ok
QCOM,2023,Item_1A,QCOM_2023_Item_1A_0032_43262ea0,2683,1935,4618,17.161,3,0,ok
