ticker,fiscal_year,section,chunk_id,prompt_tokens,completion_tokens,total_tokens,latency_sec,n_nodes,n_relationships,status
RMBS,2024,Item_1,RMBS_2024_Item_1_0007_569a4287,1969,104,2073,2.905,0,0,ok
RMBS,2024,Item_1,RMBS_2024_Item_1_0004_d360da1b,2010,232,2242,5.064,0,0,ok
RMBS,2024,Item_1,RMBS_2024_Item_1_0002_3b13e7f5,2595,1034,3629,12.373,2,1,ok
RMBS,2024,Item_1,RMBS_2024_Item_1_0006_25e8b1a1,2317,1952,4269,24.792,0,0,ok
RMBS,2024,Item_1,RMBS_2024_Item_1_0000_f17abb0c,2743,2860,5603,25.438,14,13,ok
RMBS,2024,Item_1,RMBS_2024_Item_1_0003_6b36cfe0,2762,2662,5424,28.913,5,4,ok
RMBS,2024,Item_1A,RMBS_2024_Item_1A_0004_bc86687a,2762,1004,3766,11.425,2,0,ok
RMBS,2024,Item_1A,RMBS_2024_Item_1A_0003_2c39055f,2670,1299,3969,15.003,4,0,ok
RMBS,2024,Item_1A,RMBS_2024_Item_1A_0002_e4a989e6,2777,2935,5712,31.006,7,2,ok
RMBS,2024,Item_1,RMBS_2024_Item_1_0005_9c0402ef,2817,4150,6967,47.305,16,0,ok
RMBS,2024,Item_1A,RMBS_2024_Item_1A_0000_56f1bd2c,2842,4910,7752,45.293,22,0,ok
RMBS,2024,Item_1,RMBS_2024_Item_1_0001_1bbcc1ae,2748,7423,10171,59.874,36,10,ok
RMBS,2024,Item_1A,RMBS_2024_Item_1A_0008_a5ba5d2c,2859,2034,4893,19.922,5,1,ok
RMBS,2024,Item_1A,RMBS_2024_Item_1A_0001_8410c6d0,2761,6756,9517,60.785,21,0,ok
RMBS,2024,Item_1A,RMBS_2024_Item_1A_0007_001d7357,2838,2982,5820,26.554,10,6,ok
RMBS,2024,Item_1A,RMBS_2024_Item_1A_0005_92ecf2f5,2609,5043,7652,44.573,8,7,ok
RMBS,2024,Item_1A,RMBS_2024_Item_1A_0014_375b62fe,2670,1245,3915,14.765,1,0,ok
RMBS,2024,Item_1A,RMBS_2024_Item_1A_0006_da9df6d3,2795,4981,7776,47.952,15,17,ok
RMBS,2024,Item_1A,RMBS_2024_Item_1A_0015_f3bee066,2814,1609,4423,16.681,3,0,ok
RMBS,2024,Item_1A,RMBS_2024_Item_1A_0017_bc8e17db,2813,2834,5647,28.449,4,3,ok
