ticker,fiscal_year,section,chunk_id,prompt_tokens,completion_tokens,total_tokens,latency_sec,n_nodes,n_relationships,status
SWKS,2023,Item_1,SWKS_2023_Item_1_0006_3b9c1196,2697,534,3231,6.308,0,0,ok
SWKS,2023,Item_1,SWKS_2023_Item_1_0005_80787c51,2570,977,3547,10.25,1,0,ok
SWKS,2023,Item_1,SWKS_2023_Item_1_0002_9b96dca5,2696,1063,3759,11.079,0,0,ok
SWKS,2023,Item_1,SWKS_2023_Item_1_0007_27174aed,2342,1252,3594,12.269,7,0,ok
SWKS,2023,Item_1,SWKS_2023_Item_1_0004_d82f03cd,2532,3009,5541,27.52,7,6,ok
SWKS,2023,Item_1,SWKS_2023_Item_1_0001_80bc17fa,2726,3415,6141,29.815,5,4,ok
SWKS,2023,Item_1,SWKS_2023_Item_1_0003_00bc2571,2793,3754,6547,32.385,32,0,ok
SWKS,2023,Item_1A,SWKS_2023_Item_1A_0005_a842d02b,2758,1592,4350,15.122,2,0,ok
SWKS,2023,Item_1A,SWKS_2023_Item_1A_0003_e97c6866,2878,4092,6970,36.168,7,0,ok
SWKS,2023,Item_1,SWKS_2023_Item_1_0000_848c4af8,2768,7594,10362,62.7,51,50,ok
SWKS,2023,Item_1A,SWKS_2023_Item_1A_0001_01a8c2cf,2662,6347,9009,54.218,24,6,ok
SWKS,2023,Item_1A,SWKS_2023_Item_1A_0004_be0ca18b,2639,5059,7698,43.999,18,3,ok
SWKS,2023,Item_1A,SWKS_2023_Item_1A_0006_7d72aad9,2714,5050,7764,43.772,12,9,ok
SWKS,2023,Item_1A,SWKS_2023_Item_1A_0008_c7d7a82a,2753,3708,6461,34.11,5,1,ok
SWKS,2023,Item_1A,SWKS_2023_Item_1A_0002_a5e7abcc,2855,9800,12655,78.43,32,29,ok
SWKS,2023,Item_1A,SWKS_2023_Item_1A_0011_5fe46a08,2823,3464,6287,30.279,8,1,ok
SWKS,2023,Item_1A,SWKS_2023_Item_1A_0012_b871d9d4,2755,2789,5544,26.017,10,0,ok
SWKS,2023,Item_1A,SWKS_2023_Item_1A_0010_e48fc9fa,2856,4856,7712,40.755,13,7,ok
SWKS,2023,Item_1A,SWKS_2023_Item_1A_0009_0a402aba,2852,4579,7431,39.948,11,6,ok
SWKS,2023,Item_1A,SWKS_2023_Item_1A_0007_5bb90dfb,2822,8282,11104,72.053,13,8,ok
SWKS,2023,Item_1A,SWKS_2023_Item_1A_0013_c17b09ea,2774,4403,7177,38.475,10,4,ok
SWKS,2023,Item_1A,SWKS_2023_Item_1A_0000_9244aa51,2876,14141,17017,116.797,45,40,ok
SWKS,2023,Item_1A,SWKS_2023_Item_1A_0016_b948076f,2597,1964,4561,18.293,3,0,ok
SWKS,2023,Item_1A,SWKS_2023_Item_1A_0019_a1b74411,2740,1490,4230,13.779,2,0,ok
SWKS,2023,Item_1A,SWKS_2023_Item_1A_0017_54638f06,2829,4134,6963,35.695,16,3,ok
SWKS,2023,Item_1A,SWKS_2023_Item_1A_0018_becf7e76,2786,4890,7676,41.879,6,0,ok
SWKS,2023,Item_1A,SWKS_2023_Item_1A_0022_8ecfb8b3,2625,2839,5464,24.634,14,0,ok
SWKS,2023,Item_1A,SWKS_2023_Item_1A_0014_a3b459b3,2667,7353,10020,59.668,11,5,ok
SWKS,2023,Item_1A,SWKS_2023_Item_1A_0020_6c1e52cc,2821,3929,6750,35.237,8,6,ok
SWKS,2023,Item_1A,SWKS_2023_Item_1A_0015_6c3fec93,2697,6730,9427,58.048,10,5,ok
SWKS,2023,Item_7,SWKS_2023_Item_7_0001_b5ac60bb,3173,3648,6821,33.305,15,0,ok
SWKS,2023,Item_7,SWKS_2023_Item_7_0000_bdd6997a,3186,5578,8764,49.829,19,0,ok
SWKS,2023,Item_7,SWKS_2023_Item_7_0005_8436fc09,2862,3721,6583,33.111,11,0,ok
SWKS,2023,Item_1A,SWKS_2023_Item_1A_0021_5f187ca2,2900,7977,10877,67.086,26,21,ok
SWKS,2023,Item_7,SWKS_2023_Item_7_0004_f41ae074,2995,5413,8408,48.04,11,0,ok
SWKS,2023,Item_7,SWKS_2023_Item_7_0006_bd605033,2893,4406,7299,39.964,10,0,ok
SWKS,2023,Item_7,SWKS_2023_Item_7_0002_729b2ae6,3384,7211,10595,60.166,25,1,ok
SWKS,2023,Item_7,SWKS_2023_Item_7_0003_50eb5922,3108,6797,9905,60.208,25,6,ok
SWKS,2024,Item_1,SWKS_2024_Item_1_0005_37b42664,2607,771,3378,7.577,0,0,ok
SWKS,2024,Item_1,SWKS_2024_Item_1_0002_9554fcb7,2723,1031,3754,10.056,0,0,ok
SWKS,2024,Item_1,SWKS_2024_Item_1_0006_5ba44202,2702,1502,4204,13.592,7,0,ok
SWKS,2024,Item_1,SWKS_2024_Item_1_0001_6f2cee22,2718,1465,4183,13.952,2,1,ok
SWKS,2024,Item_1,SWKS_2024_Item_1_0004_93af39ac,2691,1807,4498,17.215,2,0,ok
SWKS,2024,Item_1,SWKS_2024_Item_1_0003_fe08afb0,2744,4393,7137,38.042,26,0,ok
SWKS,2024,Item_1A,SWKS_2024_Item_1A_0005_9add10ca,2801,3212,6013,27.134,6,4,ok
SWKS,2024,Item_1,SWKS_2024_Item_1_0000_3a322512,2770,5526,8296,46.755,48,11,ok
SWKS,2024,Item_1A,SWKS_2024_Item_1A_0001_f0fca18c,2727,7855,10582,64.258,21,7,ok
SWKS,2024,Item_1A,SWKS_2024_Item_1A_0002_a9a3e0b5,2807,8327,11134,67.028,20,18,ok
SWKS,2024,Item_1A,SWKS_2024_Item_1A_0008_78b476b4,2593,3762,6355,32.751,8,2,ok
SWKS,2024,Item_1A,SWKS_2024_Item_1A_0000_64c41c3c,2874,10124,12998,83.307,35,26,ok
SWKS,2024,Item_1A,SWKS_2024_Item_1A_0006_431e1003,2845,6607,9452,53.373,21,7,ok
SWKS,2024,Item_1A,SWKS_2024_Item_1A_0004_0109bad4,2673,8984,11657,77.579,20,17,ok
SWKS,2024,Item_1A,SWKS_2024_Item_1A_0010_cbb75732,2718,2753,5471,24.435,8,2,ok
SWKS,2024,Item_1A,SWKS_2024_Item_1A_0003_61f00193,2848,11258,14106,91.076,35,33,ok
SWKS,2024,Item_1A,SWKS_2024_Item_1A_0007_94ca3c81,2801,7182,9983,59.41,12,6,ok
SWKS,2024,Item_1A,SWKS_2024_Item_1A_0009_0ded8493,2651,4683,7334,37.029,10,7,ok
SWKS,2024,Item_1A,SWKS_2024_Item_1A_0014_92d856a2,2780,3657,6437,31.857,7,0,ok
SWKS,2024,Item_1A,SWKS_2024_Item_1A_0011_16809054,2834,5447,8281,46.145,11,3,ok
SWKS,2024,Item_1A,SWKS_2024_Item_1A_0015_11c9d683,2766,3663,6429,32.442,5,0,ok
SWKS,2024,Item_1A,SWKS_2024_Item_1A_0019_939f4fa7,2252,1969,4221,16.965,3,1,ok
SWKS,2024,Item_1A,SWKS_2024_Item_1A_0012_2975a6c8,2856,7476,10332,61.32,17,13,ok
SWKS,2024,Item_1A,SWKS_2024_Item_1A_0013_faee8103,2854,6322,9176,53.326,19,6,ok
SWKS,2024,Item_1A,SWKS_2024_Item_1A_0017_76deb5f5,2416,4651,7067,39.911,7,4,ok
SWKS,2024,Item_1A,SWKS_2024_Item_1A_0020_5bd9982b,2756,2136,4892,19.877,3,0,ok
SWKS,2024,Item_1A,SWKS_2024_Item_1A_0021_66117407,2755,2654,5409,24.598,3,1,ok
SWKS,2024,Item_1A,SWKS_2024_Item_1A_0024_6cb0190e,2844,2834,5678,25.996,4,0,ok
