,title,date,media,link
0,"Amazon, PayPal, Alphabet, Palantir and AMD head into busiest earnings week for markets",7 minutes ago,Cryptopolitan,https://www.cryptopolitan.com/amazon-paypal-alphabet-palantir-earnings/&ved=2ahUKEwj92sHO4riSAxU29zgGHWeMMbQQxfQBegQIARAC&usg=AOvVaw20C_JmpKD2eR2O1XjhPr_Y
1,GOOG stock price: What to watch before Alphabet’s Feb. 4 earnings after Wall Street’s Friday slide,2 hours ago,TechStock²,https://ts2.tech/en/goog-stock-price-what-to-watch-before-alphabets-feb-4-earnings-after-wall-streets-friday-slide/&ved=2ahUKEwj92sHO4riSAxU29zgGHWeMMbQQxfQBegQIAxAC&usg=AOvVaw1TJNvLW4Z83F1-M2ax9aHn
2,"1 Stock to Buy, 1 Stock to Sell This Week: Alphabet, Strategy",2 hours ago,Investing.com,https://www.investing.com/analysis/1-stock-to-buy-1-stock-to-sell-this-week-alphabet-strategy-200674214&ved=2ahUKEwj92sHO4riSAxU29zgGHWeMMbQQxfQBegQIBBAC&usg=AOvVaw0F9vJoL2fEO4UT2NKYDzHl
3,Alphabet vs. Amazon: Which One Will Make You Richer?,2 hours ago,Finviz,https://finviz.com/news/294770/alphabet-vs-amazon-which-one-will-make-you-richer&ved=2ahUKEwj92sHO4riSAxU29zgGHWeMMbQQxfQBegQIChAC&usg=AOvVaw17dj1HBBzjwaHnBepZoJFa
4,Alphabet (GOOGL) Stock: Waymo Just Became a $110 Billion Robotaxi Giant,2 hours ago,CoinCentral,https://coincentral.com/alphabet-googl-stock-waymo-just-became-a-110-billion-robotaxi-giant/&ved=2ahUKEwj92sHO4riSAxU29zgGHWeMMbQQxfQBegQIBhAC&usg=AOvVaw3E9O4Lk9mkveQLLTsvYSp6
5,Waymo's $16 Billion Gambit: Inside Alphabet's Autonomous Vehicle Unit's Historic Funding Push,3 hours ago,WebProNews,https://www.webpronews.com/waymos-16-billion-gambit-inside-alphabets-autonomous-vehicle-units-historic-funding-push/&ved=2ahUKEwj92sHO4riSAxU29zgGHWeMMbQQxfQBegQIBxAC&usg=AOvVaw1uExPPFqdPg5nyIzAZu98_
6,Waymo’s $16B raise plan: Alphabet backs $110B valuation as safety scrutiny returns,3 hours ago,Bez Kabli,https://www.bez-kabli.pl/waymos-16b-raise-plan-alphabet-backs-110b-valuation-as-safety-scrutiny-returns/&ved=2ahUKEwj92sHO4riSAxU29zgGHWeMMbQQxfQBegQICRAC&usg=AOvVaw0UCVYCvzUOf6xS0s9KweiQ
7,"Waymo Eyeing $16 Billion Raise At Nearly $110 Billion Valuation, Says Report",3 hours ago,Pulse 2.0,https://pulse2.com/waymo-eyeing-16-billion-raise-at-nearly-110-billion-valuation-says-report/&ved=2ahUKEwj92sHO4riSAxU29zgGHWeMMbQQxfQBegQIAhAC&usg=AOvVaw3JDG1b7phLDDmOeX2foQ4v
8,"January jobs data, Alphabet and Amazon earnings, more Warsh fallout: What to watch this week",4 hours ago,Yahoo Finance,https://finance.yahoo.com/news/january-jobs-data-alphabet-and-amazon-earnings-more-warsh-fallout-what-to-watch-this-week-124723942.html&ved=2ahUKEwj92sHO4riSAxU29zgGHWeMMbQQxfQBegQICBAC&usg=AOvVaw3IbWePm5mC7nEmZvQD800c
9,"Week ahead: AMZN, GOOG, PLTR, AMD, PFE, DIS, PYPL, ABBV, QCOM, SMCI, MRK, PEP, UBER, PM",4 hours ago,Seeking Alpha,https://seekingalpha.com/news/4544709-earnings-week-ahead-amzn-goog-pltr-amd-pfe-dis-pypl-abbv-qcom-smci-mrk-pep-uber-pm-and-more&ved=2ahUKEwj92sHO4riSAxU29zgGHWeMMbQQxfQBegQIBRAC&usg=AOvVaw0IK7Je8Em3wkCujhQ-xPmK
