Unnamed: 0,title,date,media,link,full_content
0,"Amazon, PayPal, Alphabet, Palantir and AMD head into busiest earnings week for markets",7 minutes ago,Cryptopolitan,https://www.cryptopolitan.com/amazon-paypal-alphabet-palantir-earnings/&ved=2ahUKEwj92sHO4riSAxU29zgGHWeMMbQQxfQBegQIARAC&usg=AOvVaw20C_JmpKD2eR2O1XjhPr_Y,Error: Could not fetch content
1,GOOG stock price: What to watch before Alphabet’s Feb. 4 earnings after Wall Street’s Friday slide,2 hours ago,TechStock²,https://ts2.tech/en/goog-stock-price-what-to-watch-before-alphabets-feb-4-earnings-after-wall-streets-friday-slide/&ved=2ahUKEwj92sHO4riSAxU29zgGHWeMMbQQxfQBegQIAxAC&usg=AOvVaw1TJNvLW4Z83F1-M2ax9aHn,"New York, February 1, 2026, 09:42 ET — The market has closed. Microsoft shares closed Friday at $430.29, slipping 0.7%, and head into the…"
2,"1 Stock to Buy, 1 Stock to Sell This Week: Alphabet, Strategy",2 hours ago,Investing.com,https://www.investing.com/analysis/1-stock-to-buy-1-stock-to-sell-this-week-alphabet-strategy-200674214&ved=2ahUKEwj92sHO4riSAxU29zgGHWeMMbQQxfQBegQIBBAC&usg=AOvVaw0F9vJoL2fEO4UT2NKYDzHl,Error: Could not fetch content
3,Alphabet vs. Amazon: Which One Will Make You Richer?,2 hours ago,Finviz,https://finviz.com/news/294770/alphabet-vs-amazon-which-one-will-make-you-richer&ved=2ahUKEwj92sHO4riSAxU29zgGHWeMMbQQxfQBegQIChAC&usg=AOvVaw17dj1HBBzjwaHnBepZoJFa,Error: Could not fetch content
4,Alphabet (GOOGL) Stock: Waymo Just Became a $110 Billion Robotaxi Giant,2 hours ago,CoinCentral,https://coincentral.com/alphabet-googl-stock-waymo-just-became-a-110-billion-robotaxi-giant/&ved=2ahUKEwj92sHO4riSAxU29zgGHWeMMbQQxfQBegQIBhAC&usg=AOvVaw3E9O4Lk9mkveQLLTsvYSp6,Error: Could not fetch content
5,Waymo's $16 Billion Gambit: Inside Alphabet's Autonomous Vehicle Unit's Historic Funding Push,3 hours ago,WebProNews,https://www.webpronews.com/waymos-16-billion-gambit-inside-alphabets-autonomous-vehicle-units-historic-funding-push/&ved=2ahUKEwj92sHO4riSAxU29zgGHWeMMbQQxfQBegQIBxAC&usg=AOvVaw1uExPPFqdPg5nyIzAZu98_,Error: Could not fetch content
6,Waymo’s $16B raise plan: Alphabet backs $110B valuation as safety scrutiny returns,3 hours ago,Bez Kabli,https://www.bez-kabli.pl/waymos-16b-raise-plan-alphabet-backs-110b-valuation-as-safety-scrutiny-returns/&ved=2ahUKEwj92sHO4riSAxU29zgGHWeMMbQQxfQBegQICRAC&usg=AOvVaw0UCVYCvzUOf6xS0s9KweiQ,
7,"Waymo Eyeing $16 Billion Raise At Nearly $110 Billion Valuation, Says Report",3 hours ago,Pulse 2.0,https://pulse2.com/waymo-eyeing-16-billion-raise-at-nearly-110-billion-valuation-says-report/&ved=2ahUKEwj92sHO4riSAxU29zgGHWeMMbQQxfQBegQIAhAC&usg=AOvVaw3JDG1b7phLDDmOeX2foQ4v,Error: Could not fetch content
8,"January jobs data, Alphabet and Amazon earnings, more Warsh fallout: What to watch this week",4 hours ago,Yahoo Finance,https://finance.yahoo.com/news/january-jobs-data-alphabet-and-amazon-earnings-more-warsh-fallout-what-to-watch-this-week-124723942.html&ved=2ahUKEwj92sHO4riSAxU29zgGHWeMMbQQxfQBegQICBAC&usg=AOvVaw3IbWePm5mC7nEmZvQD800c,"The major indexes ended Friday in the red — but the week little-changed — as investors digested a tech sell-off, wild trading in silver and gold, and the long-awaited news that President Trump will nominate financial markets stalwart Kevin Warsh to be the next chair of the Federal Reserve.

The tech-focused Nasdaq Composite (^IXIC) led the way down on Friday with a loss of roughly 1% after a steep tech sell-off on Thursday. The index ended the week down roughly 0.2%.

Meanwhile, the S&P 500 (^GSPC) lost around 0.4% on Friday but still finished the week up a cumulative 0.3%, and the Dow Jones Industrial Average (^DJI) shed roughly 0.4% in the week's final session, logging a weekly decline of roughly the same magnitude.

Warsh's nomination early Friday capped off months of market speculation, and the 55-year-old former Fed governor is widely seen as a conservative choice by the president. In response to Warsh's nomination, the dollar (DX-Y.NYB) picked up about 0.8% on Friday.

Elsewhere in the market, gold (GC=F) sold off by more than 9% on Friday in a turnaround for precious metals. Friday's drop also saw silver (SI=F) and platinum (PL=F) lose more than 28% and 19%, respectively.

Oil prices (BZ=F, CL=F) rose roughly 7% over the past five days on tensions around potential US military action in Iran and possible disruptions to the Strait of Hormuz.

Some of the week's biggest stock market swings came from the biggest names in tech.

While both Meta (META) and Microsoft (MSFT) announced even higher spending targets in their fourth quarter earnings reports, Meta ended the week up 8.8%, while Microsoft went the other way, sliding to a loss of 7.6% on the week. The software sector also faced heavy selling pressure through the week after results from industry giant SAP (SAP), as well as other names like ServiceNow (NOW), failed to calm investor fears that software companies are quickly losing ground to AI.

In the week ahead, investors' attention will be focused on Friday's jobs report. Economists expect the US economy added 65,000 jobs last month, with the unemployment rate set to hold at 4.4%.

Readings on the manufacturing and services sector, as well as consumer sentiment from the University of Michigan, will also feature.

In the corporate world, another busy week of earnings awaits investors as two more ""Magnificent Seven"" companies — Alphabet (GOOG, GOOGL) and Amazon (AMZN) — report earnings, alongside other tech heavyweights including Palantir (PLTR) and Advanced Micro Devices (AMD)."
9,"Week ahead: AMZN, GOOG, PLTR, AMD, PFE, DIS, PYPL, ABBV, QCOM, SMCI, MRK, PEP, UBER, PM",4 hours ago,Seeking Alpha,https://seekingalpha.com/news/4544709-earnings-week-ahead-amzn-goog-pltr-amd-pfe-dis-pypl-abbv-qcom-smci-mrk-pep-uber-pm-and-more&ved=2ahUKEwj92sHO4riSAxU29zgGHWeMMbQQxfQBegQIBRAC&usg=AOvVaw0IK7Je8Em3wkCujhQ-xPmK,Error: Could not fetch content
